订单编号,下单时间,客户ID,商品名称,类别,数量,单价,金额,支付方式,收货城市
ORD000092,2024-06-23,C1046,牛仔裤,服装,5,835.86,4179.3,支付宝,广州
ORD000093,2024-04-28,C1163,连衣裙,服装,5,303.37,,银行卡,南京
ORD000094,2024-03-29,C1150,SQL必知必会,图书,2,166.25,332.5,银行卡,武汉
ORD000095,2024-05-26,C1091,收纳箱,家居,,489.67,489.67,银行卡,杭州
ORD000096,2024-05-07,C1073,小米手环,电子产品,1,1823.02,1823.02,支付宝,重庆
ORD000097,2024-06-14,C1010,机器学习实战,图书,,1808.74,1808.74,银行卡,南京
ORD000098,2024-02-03,C1138,深度学习,图书,4,367.77,1471.08,银行卡,西安
ORD000099,2024-04-29,C1019,床品四件套,家居,3,1612.38,4837.14,支付宝,深圳
ORD000100,2024-01-04,C1067,巧克力,食品,1,1585.55,1585.55,微信,南京
ORD000101,2024-04-30,C1006,床品四件套,家居,1,1356.18,1356.18,银行卡,重庆
ORD000102,2024-01-12,C1009,精华液,美妆,4,251.02,1004.08,银行卡,南京
ORD000103,2024-06-27,C1138,收纳箱,家居,3,1347.56,4042.68,货到付款,重庆
ORD000104,2024-03-12,C1008,iPad,电子产品,5,828.07,4140.35,银行卡,深圳
ORD000105,2024-06-14,C1091,AirPods Pro,电子产品,5,1805.36,9026.8,微信,武汉
ORD000106,2024-06-01,C1005,台灯,家居,2,1290.57,2581.14,微信,成都
ORD000107,2024-02-29,C1084,小米手环,电子产品,,1181.04,2362.08,支付宝,重庆
ORD000108,2024-01-29,C1169,运动鞋,服装,,1601.06,4803.18,微信,广州
ORD000109,2024-02-02,C1189,Python数据分析,图书,2,545.43,1090.86,货到付款,西安
ORD000110,2024-05-08,C1056,SQL必知必会,图书,5,235.93,1179.65,微信,西安
ORD000111,2024-05-05,C1182,收纳箱,家居,4,1378.47,5513.88,货到付款,上海
ORD000112,2024-05-20,C1182,羽绒服,服装,5,1273.49,6367.45,银行卡,武汉
ORD000113,2024-01-30,C1167,咖啡豆,食品,1,1590.33,1590.33,支付宝,武汉
ORD000114,2024-03-21,C1109,收纳箱,家居,4,1464.63,5858.52,银行卡,杭州
ORD000115,2024-01-25,C1190,iPhone 15,电子产品,1,204.6,204.6,银行卡,广州
ORD000116,2024-06-19,C1192,Python数据分析,图书,4,720.12,2880.48,货到付款,北京
ORD000117,2024-05-03,C1057,茶叶,食品,2,326.37,652.74,微信,成都
ORD000118,2024-06-08,C1157,进口牛奶,食品,4,1693.41,6773.64,微信,重庆
ORD000119,2024-03-30,C1001,羽绒服,服装,3,1844.64,5533.92,支付宝,广州
ORD000120,2024-02-25,C1096,口红,美妆,1,1497.3,1497.3,货到付款,南京
ORD000121,2024-02-09,C1040,茶叶,食品,1,1769.02,1769.02,微信,上海
ORD000122,2024-05-11,C1029,收纳箱,家居,3,446.83,1340.49,银行卡,武汉
ORD000123,2024-06-02,C1014,巧克力,食品,1,456.63,456.63,微信,深圳
ORD000124,2024-05-07,C1191,深度学习,图书,3,257.57,772.71,货到付款,广州
ORD000125,2024-01-11,C1111,巧克力,食品,1,806.2,806.2,微信,南京
ORD000126,2024-04-13,C1005,咖啡豆,食品,4,593.24,2372.96,银行卡,广州
ORD000127,2024-03-03,C1111,Python数据分析,图书,4,1692.08,6768.32,货到付款,西安
ORD000128,2024-06-11,C1029,羽绒服,服装,2,171.23,342.46,支付宝,成都
ORD000129,2024-02-20,C1044,牛仔裤,服装,1,309.96,309.96,支付宝,上海
ORD000130,2024-05-24,C1164,茶叶,食品,4,1368.64,5474.56,银行卡,成都
ORD000131,2024-05-09,C1018,深度学习,图书,5,131.22,656.1,银行卡,南京
ORD000132,2024-04-08,C1118,iPhone 15,电子产品,5,1196.28,5981.4,微信,南京
ORD000133,2024-01-16,C1115,咖啡豆,食品,5,318.7,1593.5,微信,成都
ORD000134,2024-05-14,C1133,MacBook Air,电子产品,4,1982.15,7928.6,支付宝,成都
ORD000135,2024-06-14,C1085,SQL必知必会,图书,1,1582.67,1582.67,微信,成都
ORD000136,2024-05-29,C1169,洗面奶,美妆,2,680.06,1360.12,支付宝,成都
ORD000137,2024-04-06,C1164,运动鞋,服装,1,632.97,632.97,银行卡,广州
ORD000138,2024-04-18,C1130,洗面奶,美妆,1,1299.13,1299.13,银行卡,北京
ORD000139,2024-02-09,C1019,沙发,家居,2,1999.95,3999.9,银行卡,上海
ORD000140,2024-06-07,C1033,坚果礼盒,食品,3,1755.26,5265.78,货到付款,广州
ORD000141,2024-06-22,C1184,连衣裙,服装,1,833.5,833.5,支付宝,南京
ORD000142,2024-04-30,C1049,运动鞋,服装,2,632.75,1265.5,银行卡,重庆
ORD000143,2024-02-11,C1051,加湿器,家居,5,848.95,4244.75,支付宝,杭州
ORD000144,2024-02-11,C1069,小米手环,电子产品,1,584.42,584.42,货到付款,西安
ORD000145,2024-04-16,C1013,连衣裙,服装,3,1862.33,5586.99,货到付款,西安
ORD000146,2024-06-15,C1085,T恤,服装,,1863.04,5589.12,支付宝,广州
ORD000147,2024-01-21,C1004,连衣裙,服装,4,1238.39,4953.56,银行卡,深圳
ORD000148,2024-03-01,C1077,咖啡豆,食品,1,1556.82,1556.82,微信,北京
ORD000149,2024-01-05,C1161,iPhone 15,电子产品,4,1201.54,,支付宝,广州
ORD000150,2024-01-22,C1134,咖啡豆,食品,2,1335.46,2670.92,银行卡,上海
ORD000151,2024-04-30,C1011,茶叶,食品,1,793.1,,货到付款,成都
ORD000152,2024-03-26,C1034,机器学习实战,图书,1,1547.57,1547.57,微信,成都
ORD000153,2024-02-04,C1016,香水,美妆,4,1270.84,5083.36,货到付款,北京
ORD000154,2024-05-19,C1121,AirPods Pro,电子产品,3,1040.46,3121.38,银行卡,北京
ORD000155,2024-04-04,C1111,AirPods Pro,电子产品,3,266.46,799.38,货到付款,南京
ORD000156,2024-05-12,C1068,收纳箱,家居,3,1850.13,5550.39,微信,武汉
ORD000157,2024-03-24,C1169,巧克力,食品,3,223.14,669.42,银行卡,杭州
ORD000158,2024-03-31,C1157,床品四件套,家居,4,103.86,415.44,货到付款,杭州
ORD000159,2024-06-22,C1040,香水,美妆,3,1035.91,3107.73,微信,广州
ORD000160,2024-04-03,C1092,T恤,服装,,1561.46,3122.92,货到付款,重庆
ORD000161,2024-05-26,C1035,深度学习,图书,109,1530.91,166869.19,银行卡,武汉
ORD000162,2024-05-23,C1030,MacBook Air,电子产品,4,1045.14,4180.56,银行卡,杭州
ORD000163,2024-01-19,C1115,香水,美妆,2,262.82,525.64,支付宝,南京
ORD000164,2024-03-15,C1076,深度学习,图书,1,1108.99,1108.99,支付宝,广州
ORD000165,2024-01-07,C1092,牛仔裤,服装,2,1584.94,3169.88,银行卡,南京
ORD000166,2024-05-02,C1134,iPhone 15,电子产品,3,808.36,2425.08,货到付款,武汉
ORD000167,2024-05-12,C1088,口红,美妆,4,942.35,3769.4,支付宝,西安
ORD000168,2024-05-12,C1039,加湿器,家居,1,1666.15,1666.15,银行卡,广州
ORD000169,2024-06-11,C1141,巧克力,食品,1,516.2,516.2,银行卡,广州
ORD000170,2024-02-09,C1043,面膜,美妆,,1884.38,9421.9,银行卡,重庆
ORD000171,2024-05-26,C1106,洗面奶,美妆,3,1309.24,3927.72,微信,南京
ORD000172,2024-06-24,C1103,统计学,图书,2,1613.28,3226.56,银行卡,南京
ORD000173,2024-02-06,C1080,收纳箱,家居,2,693.58,1387.16,银行卡,成都
ORD000174,2024-02-01,C1068,坚果礼盒,食品,3,498.64,1495.92,货到付款,深圳
ORD000175,2024-02-10,C1083,咖啡豆,食品,2,1926.12,3852.24,银行卡,深圳
ORD000176,2024-04-10,C1129,床品四件套,家居,4,65.89,263.56,货到付款,深圳
ORD000177,2024-01-03,C1027,加湿器,家居,4,585.78,2343.12,货到付款,广州
ORD000178,2024-05-23,C1049,Python数据分析,图书,4,121.29,485.16,银行卡,西安
ORD000179,2024-01-31,C1032,巧克力,食品,5,1367.19,6835.95,微信,武汉
ORD000180,2024-04-12,C1128,机器学习实战,图书,,1212.88,2425.76,微信,北京
ORD000181,2024-05-11,C1035,咖啡豆,食品,2,1220.4,2440.8,银行卡,重庆
ORD000182,2024-05-10,C1136,SQL必知必会,图书,3,1024.48,3073.44,货到付款,重庆
ORD000183,2024-06-25,C1161,口红,美妆,4,1175.73,4702.92,微信,重庆
ORD000184,2024-05-29,C1122,茶叶,食品,2,1448.37,2896.74,支付宝,西安
ORD000185,2024-06-28,C1028,牛仔裤,服装,1,1153.69,1153.69,支付宝,北京
ORD000186,2024-04-30,C1188,连衣裙,服装,5,1554.45,7772.25,微信,广州
ORD000187,2024-02-14,C1117,加湿器,家居,4,641.23,2564.92,银行卡,西安
ORD000188,2024-03-04,C1071,精华液,美妆,5,978.68,4893.4,银行卡,深圳
ORD000189,2024-03-30,C1143,面膜,美妆,4,647.74,2590.96,银行卡,杭州
ORD000190,2024-03-14,C1182,床品四件套,家居,2,595.1,1190.2,微信,成都
ORD000191,2024-05-23,C1178,牛仔裤,服装,5,556.84,2784.2,银行卡,广州
ORD000192,2024-01-14,C1025,小米手环,电子产品,2,1283.13,2566.26,货到付款,成都
ORD000193,2024-05-01,C1122,小米手环,电子产品,2,825.68,1651.36,支付宝,杭州
ORD000194,2024-01-10,C1044,小米手环,电子产品,2,1079.6,2159.2,货到付款,广州
ORD000195,2024-01-03,C1076,沙发,家居,3,1755.95,5267.85,微信,成都
ORD000196,2024-02-19,C1028,沙发,家居,5,946.68,4733.4,银行卡,广州
ORD000197,2024-02-19,C1044,AirPods Pro,电子产品,3,1144.21,3432.63,货到付款,武汉
ORD000198,2024-03-04,C1001,牛仔裤,服装,4,660.73,2642.92,银行卡,武汉
ORD000199,2024-06-16,C1092,SQL必知必会,图书,5,42.64,213.2,支付宝,北京
ORD000200,2024-06-12,C1075,洗面奶,美妆,3,1386.77,4160.31,银行卡,重庆
ORD000201,2024-05-20,C1120,加湿器,家居,3,843.37,2530.11,支付宝,深圳
ORD000202,2024-01-20,C1144,咖啡豆,食品,5,1413.46,7067.3,微信,北京
ORD000203,2024-05-13,C1113,进口牛奶,食品,2,669.67,1339.34,微信,深圳
ORD000204,2024-04-16,C1116,台灯,家居,356,281.25,100125.0,微信,西安
ORD000205,2024-05-28,C1018,床品四件套,家居,1,1496.69,1496.69,微信,武汉
ORD000206,2024-02-16,C1196,iPad,电子产品,1,588.44,588.44,支付宝,武汉
ORD000207,2024-06-18,C1138,收纳箱,家居,1,1371.81,1371.81,支付宝,成都
ORD000208,2024-03-17,C1118,牛仔裤,服装,1,1517.24,1517.24,货到付款,西安
ORD000209,2024-01-29,C1008,羽绒服,服装,2,1876.07,3752.14,货到付款,重庆
ORD000210,2024-04-24,C1153,T恤,服装,1,1196.01,1196.01,微信,深圳
ORD000211,2024-03-15,C1059,T恤,服装,2,1017.71,2035.42,银行卡,重庆
ORD000212,2024-03-17,C1070,机器学习实战,图书,5,457.66,2288.3,微信,西安
ORD000213,2024-03-29,C1164,香水,美妆,5,1001.33,5006.65,货到付款,西安
ORD000214,2024-02-27,C1076,沙发,家居,5,957.57,4787.85,支付宝,南京
ORD000215,2024-03-06,C1052,茶叶,食品,2,789.07,1578.14,银行卡,上海
ORD000216,2024-06-21,C1154,面膜,美妆,1,551.55,551.55,微信,上海
ORD000217,2024-03-26,C1077,进口牛奶,食品,4,433.6,1734.4,微信,深圳
ORD000218,2024-04-11,C1061,沙发,家居,5,1413.46,7067.3,银行卡,杭州
ORD000219,2024-04-29,C1025,深度学习,图书,5,1767.97,8839.85,货到付款,成都
ORD000220,2024-05-21,C1149,进口牛奶,食品,2,52.12,104.24,货到付款,杭州
ORD000221,2024-06-24,C1086,连衣裙,服装,5,1316.12,6580.6,银行卡,南京
ORD000222,2024-05-19,C1125,羽绒服,服装,2,297.12,594.24,支付宝,西安
ORD000223,2024-06-10,C1059,iPhone 15,电子产品,,836.54,836.54,微信,广州
ORD000224,2024-01-05,C1001,茶叶,食品,,1325.38,5301.52,货到付款,北京
ORD000225,2024-06-21,C1110,Python数据分析,图书,5,1630.05,8150.25,支付宝,上海
ORD000226,2024-03-09,C1101,茶叶,食品,3,1634.12,4902.36,微信,成都
ORD000227,2024-01-21,C1167,面膜,美妆,3,1374.4,4123.2,微信,上海
ORD000228,2024-04-21,C1165,口红,美妆,2,183.72,367.44,银行卡,重庆
ORD000229,2024-06-26,C1145,MacBook Air,电子产品,,1804.52,3609.04,货到付款,杭州
ORD000230,2024-03-21,C1004,茶叶,食品,1,375.12,375.12,支付宝,重庆
ORD000231,2024-05-25,C1099,AirPods Pro,电子产品,2,1136.64,2273.28,银行卡,武汉
ORD000232,2024-03-29,C1013,口红,美妆,5,1496.0,7480.0,微信,武汉
ORD000233,2024-03-24,C1007,茶叶,食品,4,1938.46,7753.84,银行卡,南京
ORD000234,2024-01-22,C1197,沙发,家居,5,1328.13,6640.65,银行卡,深圳
ORD000235,2024-01-28,C1023,面膜,美妆,4,647.02,2588.08,微信,杭州
ORD000236,2024-05-22,C1131,MacBook Air,电子产品,,908.71,3634.84,货到付款,上海
ORD000237,2024-04-15,C1099,巧克力,食品,4,44.43,177.72,微信,西安
ORD000238,2024-03-18,C1068,连衣裙,服装,2,294.9,589.8,货到付款,广州
ORD000239,2024-03-04,C1184,台灯,家居,3,518.37,1555.11,货到付款,重庆
ORD000240,2024-04-07,C1084,iPad,电子产品,3,1686.39,5059.17,货到付款,成都
ORD000241,2024-06-26,C1051,进口牛奶,食品,3,654.92,1964.76,货到付款,成都
ORD000242,2024-03-24,C1096,香水,美妆,5,1568.31,7841.55,银行卡,武汉
ORD000243,2024-04-28,C1181,进口牛奶,食品,5,73.29,366.45,支付宝,南京
ORD000244,2024-03-02,C1064,收纳箱,家居,2,1274.01,2548.02,支付宝,武汉
ORD000245,2024-06-26,C1107,加湿器,家居,4,1078.05,4312.2,微信,成都
ORD000246,2024-03-31,C1042,iPhone 15,电子产品,2,1322.05,2644.1,微信,重庆
ORD000247,2024-03-07,C1056,统计学,图书,1,40.88,40.88,支付宝,南京
ORD000248,2024-01-07,C1123,洗面奶,美妆,2,703.04,1406.08,微信,杭州
ORD000249,2024-04-26,C1200,面膜,美妆,3,637.54,1912.62,支付宝,西安
ORD000250,2024-01-12,C1181,香水,美妆,3,153.01,459.03,微信,北京
ORD000251,2024-02-10,C1084,牛仔裤,服装,5,365.42,1827.1,货到付款,南京
ORD000252,2024-06-06,C1050,香水,美妆,4,77.8,,货到付款,重庆
ORD000253,2024-05-17,C1047,Python数据分析,图书,5,221.47,1107.35,银行卡,成都
ORD000254,2024-06-05,C1100,加湿器,家居,371,1202.0,445942.0,微信,成都
ORD000255,2024-06-21,C1034,精华液,美妆,5,1188.53,5942.65,银行卡,上海
ORD000256,2024-02-05,C1147,运动鞋,服装,4,848.11,3392.44,货到付款,武汉
ORD000257,2024-03-14,C1035,面膜,美妆,5,350.39,1751.95,支付宝,成都
ORD000258,2024-04-08,C1143,iPad,电子产品,2,406.35,812.7,货到付款,武汉
ORD000259,2024-02-26,C1074,沙发,家居,1,1139.49,1139.49,微信,杭州
ORD000260,2024-05-26,C1029,咖啡豆,食品,5,1031.4,5157.0,银行卡,西安
ORD000261,2024-04-18,C1026,iPad,电子产品,5,452.71,2263.55,支付宝,杭州
ORD000262,2024-03-01,C1053,iPad,电子产品,1,1555.75,1555.75,银行卡,重庆
ORD000263,2024-05-16,C1071,牛仔裤,服装,1,1148.75,1148.75,支付宝,成都
ORD000264,2024-04-15,C1015,坚果礼盒,食品,2,1926.29,3852.58,银行卡,广州
ORD000265,2024-05-27,C1161,机器学习实战,图书,4,989.13,3956.52,银行卡,武汉
ORD000266,2024-06-26,C1094,iPad,电子产品,5,1504.61,,货到付款,南京
ORD000267,2024-06-27,C1091,口红,美妆,4,1276.98,5107.92,微信,西安
ORD000268,2024-03-27,C1140,床品四件套,家居,3,1660.12,4980.36,支付宝,重庆
ORD000269,2024-04-27,C1004,iPhone 15,电子产品,1,1259.84,,微信,广州
ORD000270,2024-03-11,C1023,牛仔裤,服装,3,334.78,1004.34,银行卡,杭州
ORD000271,2024-02-29,C1109,iPad,电子产品,,1457.46,4372.38,微信,上海
ORD000272,2024-06-27,C1087,运动鞋,服装,4,38.39,153.56,微信,武汉
ORD000273,2024-03-17,C1035,iPhone 15,电子产品,1,640.44,640.44,货到付款,广州
ORD000274,2024-04-22,C1089,坚果礼盒,食品,5,1307.04,6535.2,支付宝,广州
ORD000275,2024-02-01,C1150,T恤,服装,1,297.23,297.23,货到付款,成都
ORD000276,2024-06-02,C1184,Python数据分析,图书,2,1115.73,2231.46,银行卡,北京
ORD000277,2024-04-10,C1075,茶叶,食品,5,393.52,1967.6,微信,深圳
ORD000278,2024-01-04,C1092,坚果礼盒,食品,5,1779.67,8898.35,银行卡,广州
ORD000279,2024-01-19,C1004,进口牛奶,食品,4,1909.82,7639.28,微信,北京
ORD000280,2024-05-08,C1196,加湿器,家居,3,1264.57,3793.71,货到付款,武汉
ORD000281,2024-01-21,C1130,进口牛奶,食品,3,185.52,556.56,支付宝,广州
ORD000282,2024-03-02,C1014,口红,美妆,3,1403.38,4210.14,支付宝,上海
ORD000283,2024-02-05,C1179,AirPods Pro,电子产品,2,256.5,513.0,微信,广州
ORD000284,2024-03-09,C1187,精华液,美妆,2,756.3,1512.6,微信,北京
ORD000285,2024-05-10,C1092,SQL必知必会,图书,1,1002.37,1002.37,微信,南京
ORD000286,2024-05-10,C1000,小米手环,电子产品,1,472.24,472.24,微信,北京
ORD000287,2024-06-16,C1107,牛仔裤,服装,1,1114.67,1114.67,支付宝,成都
ORD000288,2024-06-21,C1013,小米手环,电子产品,3,256.41,769.23,支付宝,深圳
ORD000289,2024-03-20,C1083,iPad,电子产品,3,1551.58,4654.74,微信,西安
ORD000290,2024-05-31,C1126,SQL必知必会,图书,2,938.57,1877.14,支付宝,西安
ORD000291,2024-06-11,C1177,台灯,家居,,1092.26,2184.52,微信,成都
ORD000292,2024-03-01,C1107,精华液,美妆,1,426.28,426.28,货到付款,北京
ORD000293,2024-04-05,C1117,MacBook Air,电子产品,5,837.85,4189.25,微信,重庆
ORD000294,2024-06-18,C1033,小米手环,电子产品,5,143.32,716.6,支付宝,杭州
ORD000295,2024-02-29,C1019,精华液,美妆,3,916.46,2749.38,支付宝,广州
ORD000296,2024-01-31,C1137,连衣裙,服装,4,641.79,2567.16,银行卡,深圳
ORD000297,2024-06-27,C1154,MacBook Air,电子产品,3,1656.25,4968.75,微信,深圳
ORD000298,2024-06-22,C1076,羽绒服,服装,,1036.65,4146.6,银行卡,广州
ORD000299,2024-01-27,C1035,洗面奶,美妆,2,207.56,415.12,微信,北京
ORD000300,2024-06-14,C1021,连衣裙,服装,,1378.84,4136.52,银行卡,上海
ORD000301,2024-03-25,C1031,沙发,家居,1,1812.05,1812.05,微信,南京
ORD000302,2024-06-23,C1109,香水,美妆,4,78.37,313.48,支付宝,成都
ORD000303,2024-03-03,C1165,T恤,服装,5,1245.97,6229.85,银行卡,南京
ORD000304,2024-06-13,C1134,统计学,图书,2,850.08,1700.16,支付宝,西安
ORD000305,2024-03-29,C1144,统计学,图书,5,1567.24,,银行卡,武汉
ORD000306,2024-04-30,C1135,AirPods Pro,电子产品,1,1621.13,1621.13,银行卡,重庆
ORD000307,2024-01-15,C1195,面膜,美妆,3,1076.71,3230.13,支付宝,重庆
ORD000308,2024-06-27,C1091,牛仔裤,服装,2,1193.19,2386.38,微信,成都
ORD000309,2024-05-05,C1009,连衣裙,服装,5,631.93,3159.65,微信,北京
