订单号,商品1,商品2,商品3,商品4,商品5
TXN00201,牛奶,面包,尿布,肉类,咖啡
TXN00202,巧克力,坚果,,,
TXN00203,啤酒,尿布,肉类,鸡蛋,饼干
TXN00204,可乐,咖啡,蔬菜,鸡蛋,薯片
TXN00205,薯片,牛奶,,,
TXN00206,牛奶,坚果,,,
TXN00207,啤酒,尿布,肉类,茶叶,
TXN00208,可乐,面包,坚果,巧克力,
TXN00209,茶叶,尿布,坚果,咖啡,
TXN00210,牛奶,面包,巧克力,啤酒,
TXN00211,肉类,茶叶,啤酒,,
TXN00212,巧克力,蔬菜,坚果,牛奶,肉类
TXN00213,牛奶,面包,饼干,鸡蛋,啤酒
TXN00214,水果,面包,饼干,肉类,
TXN00215,肉类,可乐,薯片,,
TXN00216,啤酒,尿布,牛奶,面包,蔬菜
TXN00217,坚果,鸡蛋,牛奶,,
TXN00218,牛奶,面包,巧克力,尿布,饼干
TXN00219,巧克力,牛奶,鸡蛋,,
TXN00220,咖啡,肉类,,,
TXN00221,薯片,肉类,蔬菜,,
TXN00222,可乐,尿布,牛奶,啤酒,鸡蛋
TXN00223,咖啡,蔬菜,,,
TXN00224,鸡蛋,茶叶,水果,坚果,
TXN00225,茶叶,饼干,面包,鸡蛋,可乐
TXN00226,蔬菜,巧克力,坚果,茶叶,
TXN00227,薯片,鸡蛋,蔬菜,,
TXN00228,肉类,水果,尿布,啤酒,
TXN00229,茶叶,咖啡,巧克力,水果,可乐
TXN00230,面包,尿布,,,
TXN00231,牛奶,面包,可乐,尿布,
TXN00232,啤酒,尿布,薯片,水果,
TXN00233,薯片,咖啡,坚果,蔬菜,
TXN00234,茶叶,肉类,,,
TXN00235,茶叶,饼干,水果,,
TXN00236,牛奶,面包,坚果,薯片,蔬菜
TXN00237,牛奶,面包,可乐,啤酒,饼干
TXN00238,可乐,咖啡,牛奶,啤酒,鸡蛋
TXN00239,牛奶,面包,水果,茶叶,
TXN00240,肉类,蔬菜,巧克力,茶叶,
TXN00241,咖啡,饼干,茶叶,,
TXN00242,啤酒,尿布,饼干,巧克力,蔬菜
TXN00243,啤酒,尿布,咖啡,饼干,
TXN00244,饼干,肉类,,,
TXN00245,牛奶,面包,啤酒,咖啡,水果
TXN00246,巧克力,可乐,面包,茶叶,鸡蛋
TXN00247,啤酒,坚果,牛奶,,
TXN00248,可乐,啤酒,牛奶,咖啡,
TXN00249,肉类,尿布,坚果,,
TXN00250,啤酒,尿布,坚果,巧克力,鸡蛋
TXN00251,牛奶,面包,肉类,咖啡,水果
TXN00252,咖啡,可乐,薯片,,
TXN00253,啤酒,尿布,牛奶,面包,鸡蛋
TXN00254,巧克力,牛奶,水果,尿布,鸡蛋
TXN00255,可乐,肉类,,,
TXN00256,牛奶,面包,茶叶,啤酒,肉类
TXN00257,啤酒,尿布,薯片,坚果,面包
TXN00258,牛奶,面包,坚果,水果,
TXN00259,咖啡,鸡蛋,巧克力,可乐,
TXN00260,牛奶,啤酒,,,
TXN00261,牛奶,面包,鸡蛋,啤酒,薯片
TXN00262,牛奶,咖啡,啤酒,,
TXN00263,啤酒,饼干,薯片,坚果,
TXN00264,巧克力,水果,牛奶,,
TXN00265,咖啡,可乐,啤酒,面包,巧克力
TXN00266,巧克力,水果,饼干,咖啡,肉类
TXN00267,尿布,薯片,,,
TXN00268,可乐,面包,,,
TXN00269,牛奶,坚果,肉类,水果,尿布
TXN00270,啤酒,尿布,面包,薯片,
TXN00271,尿布,鸡蛋,蔬菜,可乐,巧克力
TXN00272,啤酒,尿布,面包,坚果,薯片
TXN00273,蔬菜,坚果,咖啡,可乐,面包
TXN00274,薯片,巧克力,,,
TXN00275,咖啡,啤酒,坚果,,
TXN00276,薯片,水果,,,
TXN00277,肉类,饼干,坚果,尿布,啤酒
TXN00278,咖啡,巧克力,,,
TXN00279,啤酒,尿布,鸡蛋,薯片,咖啡
TXN00280,面包,坚果,,,
TXN00281,薯片,水果,肉类,可乐,
TXN00282,牛奶,面包,可乐,啤酒,
TXN00283,啤酒,牛奶,,,
TXN00284,咖啡,茶叶,,,
TXN00285,面包,茶叶,尿布,鸡蛋,咖啡
TXN00286,咖啡,薯片,坚果,尿布,
TXN00287,牛奶,薯片,咖啡,,
TXN00288,啤酒,尿布,薯片,饼干,巧克力
TXN00289,茶叶,饼干,蔬菜,,
TXN00290,茶叶,薯片,饼干,可乐,
TXN00291,牛奶,面包,薯片,茶叶,肉类
TXN00292,水果,蔬菜,饼干,牛奶,
TXN00293,肉类,鸡蛋,巧克力,面包,
TXN00294,牛奶,坚果,水果,啤酒,尿布
TXN00295,鸡蛋,肉类,,,
TXN00296,牛奶,肉类,饼干,,
TXN00297,咖啡,啤酒,,,
TXN00298,牛奶,面包,蔬菜,巧克力,坚果
TXN00299,咖啡,可乐,牛奶,啤酒,
TXN00300,坚果,巧克力,鸡蛋,水果,
TXN00301,水果,肉类,面包,坚果,尿布
TXN00302,啤酒,尿布,牛奶,面包,可乐
TXN00303,饼干,蔬菜,尿布,,
TXN00304,茶叶,尿布,薯片,饼干,
TXN00305,牛奶,面包,巧克力,茶叶,尿布
TXN00306,牛奶,面包,可乐,蔬菜,鸡蛋
TXN00307,尿布,肉类,啤酒,坚果,
TXN00308,牛奶,面包,咖啡,可乐,
TXN00309,啤酒,薯片,蔬菜,肉类,
TXN00310,肉类,坚果,咖啡,蔬菜,
TXN00311,薯片,水果,坚果,饼干,巧克力
TXN00312,薯片,可乐,肉类,水果,面包
TXN00313,尿布,肉类,牛奶,,
TXN00314,牛奶,饼干,肉类,,
TXN00315,饼干,可乐,面包,肉类,咖啡
TXN00316,牛奶,面包,肉类,坚果,
TXN00317,牛奶,面包,可乐,蔬菜,鸡蛋
TXN00318,尿布,牛奶,啤酒,茶叶,
TXN00319,鸡蛋,水果,薯片,肉类,
TXN00320,面包,茶叶,鸡蛋,,
TXN00321,薯片,啤酒,鸡蛋,饼干,巧克力
TXN00322,茶叶,面包,尿布,蔬菜,
TXN00323,啤酒,鸡蛋,,,
TXN00324,啤酒,尿布,饼干,面包,可乐
TXN00325,咖啡,薯片,巧克力,,
TXN00326,牛奶,面包,坚果,鸡蛋,
TXN00327,尿布,面包,啤酒,可乐,坚果
TXN00328,蔬菜,尿布,茶叶,饼干,
TXN00329,面包,水果,蔬菜,,
TXN00330,肉类,鸡蛋,,,
TXN00331,巧克力,可乐,,,
TXN00332,面包,鸡蛋,巧克力,茶叶,水果
TXN00333,薯片,可乐,,,
TXN00334,啤酒,肉类,牛奶,尿布,
TXN00335,蔬菜,薯片,牛奶,鸡蛋,
TXN00336,可乐,牛奶,饼干,茶叶,
TXN00337,坚果,茶叶,啤酒,巧克力,
TXN00338,牛奶,面包,蔬菜,咖啡,坚果
TXN00339,牛奶,坚果,水果,鸡蛋,啤酒
TXN00340,可乐,蔬菜,牛奶,,
TXN00341,牛奶,蔬菜,饼干,,
TXN00342,可乐,面包,,,
TXN00343,肉类,饼干,牛奶,咖啡,面包
TXN00344,牛奶,坚果,啤酒,,
TXN00345,蔬菜,牛奶,饼干,可乐,
TXN00346,可乐,鸡蛋,,,
TXN00347,肉类,啤酒,茶叶,,
TXN00348,咖啡,蔬菜,,,
TXN00349,面包,牛奶,薯片,,
TXN00350,鸡蛋,可乐,牛奶,,
TXN00351,坚果,鸡蛋,水果,,
TXN00352,鸡蛋,饼干,茶叶,牛奶,
TXN00353,饼干,咖啡,水果,茶叶,
TXN00354,牛奶,可乐,啤酒,,
TXN00355,面包,鸡蛋,,,
TXN00356,坚果,尿布,,,
TXN00357,水果,蔬菜,薯片,鸡蛋,
TXN00358,牛奶,巧克力,蔬菜,可乐,坚果
TXN00359,饼干,鸡蛋,咖啡,肉类,
TXN00360,鸡蛋,薯片,饼干,啤酒,
TXN00361,饼干,坚果,水果,茶叶,
TXN00362,可乐,薯片,饼干,茶叶,
TXN00363,面包,鸡蛋,蔬菜,水果,咖啡
TXN00364,啤酒,尿布,水果,鸡蛋,
TXN00365,水果,茶叶,鸡蛋,,
TXN00366,咖啡,肉类,,,
TXN00367,牛奶,面包,坚果,薯片,啤酒
TXN00368,啤酒,尿布,牛奶,薯片,可乐
TXN00369,面包,咖啡,肉类,,
TXN00370,牛奶,面包,巧克力,蔬菜,薯片
TXN00371,坚果,面包,鸡蛋,,
TXN00372,水果,肉类,薯片,,
TXN00373,牛奶,面包,巧克力,可乐,
TXN00374,牛奶,面包,水果,坚果,饼干
TXN00375,牛奶,咖啡,水果,巧克力,肉类
TXN00376,牛奶,面包,薯片,鸡蛋,
TXN00377,咖啡,牛奶,,,
TXN00378,啤酒,坚果,可乐,水果,
TXN00379,饼干,咖啡,鸡蛋,肉类,尿布
TXN00380,啤酒,尿布,面包,坚果,牛奶
TXN00381,啤酒,尿布,牛奶,巧克力,面包
TXN00382,牛奶,面包,薯片,坚果,
TXN00383,鸡蛋,肉类,茶叶,巧克力,啤酒
TXN00384,面包,牛奶,,,
TXN00385,薯片,蔬菜,茶叶,巧克力,饼干
TXN00386,肉类,啤酒,蔬菜,可乐,
TXN00387,咖啡,尿布,巧克力,鸡蛋,薯片
TXN00388,肉类,坚果,鸡蛋,牛奶,
TXN00389,薯片,茶叶,,,
TXN00390,茶叶,坚果,,,
TXN00391,啤酒,饼干,茶叶,,
TXN00392,茶叶,可乐,坚果,巧克力,蔬菜
TXN00393,可乐,水果,面包,咖啡,肉类
TXN00394,巧克力,水果,,,
TXN00395,茶叶,坚果,,,
TXN00396,茶叶,薯片,,,
TXN00397,啤酒,尿布,水果,坚果,面包
TXN00398,啤酒,巧克力,,,
TXN00399,尿布,咖啡,牛奶,,
TXN00400,薯片,牛奶,蔬菜,茶叶,
TXN00401,尿布,薯片,茶叶,,
TXN00402,牛奶,面包,咖啡,蔬菜,茶叶
TXN00403,茶叶,咖啡,面包,水果,
TXN00404,蔬菜,啤酒,鸡蛋,面包,
TXN00405,面包,水果,肉类,啤酒,牛奶
TXN00406,肉类,尿布,咖啡,,
TXN00407,牛奶,面包,坚果,鸡蛋,
TXN00408,鸡蛋,薯片,蔬菜,饼干,
TXN00409,巧克力,薯片,尿布,水果,
TXN00410,啤酒,尿布,牛奶,面包,坚果
TXN00411,饼干,肉类,尿布,蔬菜,
TXN00412,可乐,牛奶,尿布,鸡蛋,
TXN00413,饼干,咖啡,,,
TXN00414,牛奶,面包,茶叶,鸡蛋,尿布
TXN00415,水果,牛奶,茶叶,尿布,
TXN00416,可乐,饼干,坚果,,
TXN00417,蔬菜,水果,巧克力,饼干,咖啡
TXN00418,坚果,饼干,茶叶,尿布,
TXN00419,面包,蔬菜,,,
TXN00420,可乐,牛奶,咖啡,,
TXN00421,啤酒,尿布,咖啡,饼干,薯片
TXN00422,啤酒,尿布,可乐,,
TXN00423,巧克力,尿布,水果,,
TXN00424,可乐,咖啡,茶叶,,
TXN00425,薯片,可乐,,,
TXN00426,咖啡,啤酒,牛奶,,
TXN00427,肉类,可乐,,,
TXN00428,巧克力,薯片,,,
TXN00429,牛奶,面包,鸡蛋,咖啡,
TXN00430,啤酒,坚果,牛奶,巧克力,
TXN00431,茶叶,肉类,咖啡,,
TXN00432,肉类,坚果,鸡蛋,尿布,咖啡
TXN00433,啤酒,巧克力,面包,茶叶,鸡蛋
TXN00434,饼干,水果,,,
TXN00435,水果,茶叶,巧克力,牛奶,可乐
TXN00436,薯片,蔬菜,水果,坚果,
TXN00437,牛奶,面包,可乐,薯片,咖啡
TXN00438,肉类,巧克力,水果,,
TXN00439,面包,鸡蛋,肉类,,
TXN00440,蔬菜,牛奶,薯片,坚果,尿布
TXN00441,鸡蛋,水果,巧克力,坚果,
TXN00442,啤酒,尿布,牛奶,面包,饼干
TXN00443,巧克力,肉类,鸡蛋,,
TXN00444,面包,茶叶,咖啡,鸡蛋,啤酒
TXN00445,巧克力,可乐,坚果,,
TXN00446,茶叶,饼干,咖啡,,
TXN00447,水果,咖啡,肉类,薯片,鸡蛋
TXN00448,牛奶,咖啡,啤酒,鸡蛋,坚果
TXN00449,啤酒,尿布,水果,饼干,面包
TXN00450,肉类,水果,啤酒,,
TXN00451,巧克力,坚果,茶叶,肉类,
TXN00452,坚果,可乐,鸡蛋,啤酒,
TXN00453,饼干,肉类,咖啡,牛奶,茶叶
TXN00454,牛奶,面包,咖啡,蔬菜,饼干
TXN00455,啤酒,咖啡,肉类,茶叶,鸡蛋
TXN00456,啤酒,尿布,坚果,牛奶,咖啡
TXN00457,薯片,坚果,巧克力,,
TXN00458,蔬菜,茶叶,饼干,,
TXN00459,牛奶,面包,尿布,,
TXN00460,薯片,茶叶,,,
TXN00461,可乐,巧克力,肉类,饼干,
TXN00462,可乐,蔬菜,牛奶,尿布,
TXN00463,咖啡,肉类,可乐,饼干,
TXN00464,蔬菜,巧克力,面包,,
TXN00465,啤酒,尿布,薯片,水果,饼干
TXN00466,坚果,鸡蛋,啤酒,肉类,蔬菜
TXN00467,啤酒,尿布,鸡蛋,可乐,牛奶
TXN00468,啤酒,尿布,牛奶,面包,鸡蛋
TXN00469,蔬菜,水果,牛奶,,
TXN00470,面包,巧克力,茶叶,可乐,鸡蛋
TXN00471,啤酒,尿布,水果,蔬菜,牛奶
TXN00472,面包,薯片,,,
TXN00473,啤酒,尿布,巧克力,茶叶,薯片
TXN00474,饼干,鸡蛋,水果,坚果,面包
TXN00475,蔬菜,可乐,肉类,坚果,
TXN00476,薯片,饼干,坚果,蔬菜,
TXN00477,牛奶,薯片,巧克力,肉类,
TXN00478,牛奶,面包,蔬菜,咖啡,肉类
TXN00479,坚果,巧克力,尿布,面包,
TXN00480,咖啡,薯片,鸡蛋,,
TXN00481,鸡蛋,茶叶,牛奶,饼干,
TXN00482,茶叶,坚果,面包,,
TXN00483,啤酒,尿布,蔬菜,肉类,
TXN00484,啤酒,尿布,饼干,咖啡,巧克力
TXN00485,牛奶,茶叶,巧克力,,
TXN00486,牛奶,面包,茶叶,蔬菜,尿布
TXN00487,尿布,牛奶,啤酒,,
TXN00488,鸡蛋,咖啡,面包,,
TXN00489,坚果,尿布,牛奶,咖啡,
TXN00490,啤酒,尿布,肉类,牛奶,蔬菜
TXN00491,巧克力,水果,,,
TXN00492,薯片,饼干,蔬菜,,
TXN00493,尿布,巧克力,,,
TXN00494,鸡蛋,茶叶,,,
TXN00495,牛奶,面包,薯片,尿布,可乐
TXN00496,茶叶,面包,,,
TXN00497,尿布,茶叶,水果,,
TXN00498,啤酒,蔬菜,茶叶,,
TXN00499,啤酒,尿布,坚果,饼干,可乐
TXN00500,啤酒,尿布,鸡蛋,面包,咖啡
TXN00501,坚果,咖啡,,,
TXN00502,牛奶,面包,尿布,,
TXN00503,鸡蛋,蔬菜,,,
TXN00504,蔬菜,可乐,,,
TXN00505,牛奶,面包,鸡蛋,啤酒,蔬菜
TXN00506,牛奶,面包,水果,鸡蛋,
TXN00507,可乐,水果,咖啡,茶叶,
TXN00508,啤酒,茶叶,可乐,,
TXN00509,啤酒,尿布,牛奶,咖啡,茶叶
TXN00510,牛奶,面包,咖啡,水果,蔬菜
TXN00511,尿布,牛奶,薯片,巧克力,面包
TXN00512,牛奶,茶叶,啤酒,,
TXN00513,可乐,牛奶,饼干,面包,
TXN00514,薯片,牛奶,咖啡,饼干,茶叶
TXN00515,啤酒,尿布,咖啡,巧克力,肉类
TXN00516,牛奶,面包,茶叶,咖啡,啤酒
TXN00517,肉类,水果,咖啡,面包,茶叶
TXN00518,薯片,茶叶,,,
TXN00519,啤酒,茶叶,,,
TXN00520,啤酒,尿布,牛奶,可乐,巧克力
TXN00521,蔬菜,坚果,尿布,可乐,
TXN00522,可乐,肉类,蔬菜,啤酒,鸡蛋
TXN00523,牛奶,坚果,饼干,面包,肉类
TXN00524,啤酒,尿布,蔬菜,饼干,
TXN00525,水果,可乐,,,
TXN00526,啤酒,巧克力,牛奶,可乐,
TXN00527,尿布,坚果,咖啡,水果,茶叶
TXN00528,啤酒,尿布,饼干,薯片,
TXN00529,鸡蛋,坚果,水果,薯片,茶叶
TXN00530,水果,薯片,咖啡,尿布,
TXN00531,啤酒,蔬菜,,,
TXN00532,茶叶,牛奶,啤酒,尿布,水果
TXN00533,可乐,饼干,水果,,
TXN00534,牛奶,面包,啤酒,可乐,蔬菜
TXN00535,牛奶,尿布,,,
TXN00536,薯片,水果,尿布,可乐,咖啡
TXN00537,咖啡,饼干,坚果,尿布,面包
TXN00538,鸡蛋,牛奶,,,
TXN00539,啤酒,尿布,薯片,鸡蛋,蔬菜
TXN00540,薯片,水果,尿布,牛奶,
TXN00541,尿布,茶叶,面包,薯片,
TXN00542,啤酒,尿布,咖啡,坚果,可乐
TXN00543,面包,坚果,尿布,可乐,牛奶
TXN00544,面包,水果,,,
TXN00545,茶叶,薯片,,,
TXN00546,可乐,薯片,尿布,鸡蛋,
TXN00547,可乐,水果,茶叶,,
TXN00548,饼干,坚果,面包,,
TXN00549,尿布,茶叶,肉类,,
TXN00550,薯片,巧克力,蔬菜,坚果,
TXN00551,牛奶,啤酒,,,
TXN00552,蔬菜,可乐,,,
TXN00553,茶叶,鸡蛋,啤酒,水果,可乐
TXN00554,肉类,鸡蛋,咖啡,面包,
TXN00555,咖啡,巧克力,茶叶,啤酒,可乐
TXN00556,肉类,茶叶,牛奶,蔬菜,
TXN00557,牛奶,面包,茶叶,蔬菜,啤酒
TXN00558,可乐,肉类,,,
TXN00559,面包,啤酒,,,
TXN00560,巧克力,茶叶,坚果,牛奶,
TXN00561,水果,尿布,啤酒,咖啡,
TXN00562,牛奶,咖啡,,,
TXN00563,咖啡,肉类,蔬菜,薯片,
TXN00564,蔬菜,薯片,尿布,,
TXN00565,蔬菜,薯片,尿布,鸡蛋,面包
TXN00566,牛奶,面包,巧克力,咖啡,坚果
TXN00567,牛奶,面包,,,
TXN00568,肉类,饼干,,,
TXN00569,咖啡,茶叶,薯片,蔬菜,
TXN00570,巧克力,可乐,,,
TXN00571,可乐,尿布,咖啡,,
TXN00572,啤酒,尿布,肉类,坚果,
TXN00573,牛奶,饼干,水果,面包,鸡蛋
