日期,销售额,订单数,客单价,类别,渠道
2024-01-05,14453.0,43,336.12,图书,线上
2024-01-05,12459.42,102,122.15,图书,线下
2024-01-05,7566.94,117,64.67,图书,小程序
2024-01-05,13092.51,129,101.49,图书,APP
2024-01-05,13374.41,36,371.51,家居,线上
2024-01-05,6640.45,54,122.97,家居,线下
2024-01-05,4550.95,90,50.57,家居,小程序
2024-01-05,7085.43,125,56.68,家居,APP
2024-01-05,9476.22,73,129.81,食品,线上
2024-01-05,10545.47,47,224.37,食品,线下
2024-01-05,10047.75,42,239.23,食品,小程序
2024-01-05,8974.87,93,96.5,食品,APP
2024-01-05,8282.37,101,82.0,美妆,线上
2024-01-05,6234.65,110,56.68,美妆,线下
2024-01-05,14399.48,147,97.96,美妆,小程序
2024-01-05,9415.78,147,64.05,美妆,APP
2024-01-06,9126.49,66,138.28,电子产品,线上
2024-01-06,13934.43,79,176.39,电子产品,线下
2024-01-06,11782.47,69,170.76,电子产品,小程序
2024-01-06,3092.31,26,118.94,电子产品,APP
2024-01-06,8787.02,50,175.74,服装,线上
2024-01-06,12137.47,73,166.27,服装,线下
2024-01-06,12900.72,126,102.39,服装,小程序
2024-01-06,8162.06,105,77.73,服装,APP
2024-01-06,7370.6,74,99.6,图书,线上
2024-01-06,3211.74,71,45.24,图书,线下
2024-01-06,11554.22,85,135.93,图书,小程序
2024-01-06,12785.56,98,130.46,图书,APP
2024-01-06,6763.82,102,66.31,家居,线上
2024-01-06,12500.86,49,255.12,家居,线下
2024-01-06,11502.83,107,107.5,家居,小程序
2024-01-06,7940.92,27,294.11,家居,APP
2024-01-06,13299.93,69,192.75,食品,线上
2024-01-06,7135.4,106,67.32,食品,线下
2024-01-06,14409.08,142,101.47,食品,小程序
2024-01-06,14333.89,29,494.27,食品,APP
2024-01-06,11008.91,143,76.99,美妆,线上
2024-01-06,4982.81,137,36.37,美妆,线下
2024-01-06,14037.61,105,133.69,美妆,小程序
2024-01-06,8757.33,125,70.06,美妆,APP
2024-01-07,14545.89,34,427.82,电子产品,线上
2024-01-07,13401.23,96,139.6,电子产品,线下
2024-01-07,10064.67,100,100.65,电子产品,小程序
2024-01-07,9944.07,24,414.34,电子产品,APP
2024-01-07,5659.61,104,54.42,服装,线上
2024-01-07,12961.93,110,117.84,服装,线下
2024-01-07,3905.28,58,67.33,服装,小程序
2024-01-07,6551.27,27,242.64,服装,APP
2024-01-07,7276.13,116,62.73,图书,线上
2024-01-07,10825.05,62,174.6,图书,线下
2024-01-07,10139.25,119,85.2,图书,小程序
2024-01-07,5401.7,49,110.24,图书,APP
2024-01-07,13765.41,98,140.46,家居,线上
2024-01-07,11797.69,100,117.98,家居,线下
2024-01-07,11854.18,89,133.19,家居,小程序
2024-01-07,8198.9,147,55.77,家居,APP
2024-01-07,13919.23,115,121.04,食品,线上
2024-01-07,8668.66,97,89.37,食品,线下
2024-01-07,5756.9,97,59.35,食品,小程序
2024-01-07,5248.98,115,45.64,食品,APP
2024-01-07,12781.72,71,180.02,美妆,线上
2024-01-07,14367.61,133,108.03,美妆,线下
2024-01-07,9336.66,143,65.29,美妆,小程序
2024-01-07,14263.89,59,241.76,美妆,APP
2024-01-08,5462.56,143,38.2,电子产品,线上
2024-01-08,12191.05,99,123.14,电子产品,线下
2024-01-08,12725.78,56,227.25,电子产品,小程序
2024-01-08,12650.68,45,281.13,电子产品,APP
2024-01-08,13304.1,53,251.02,服装,线上
2024-01-08,5648.39,29,194.77,服装,线下
2024-01-08,8802.51,49,179.64,服装,小程序
2024-01-08,3153.23,31,101.72,服装,APP
2024-01-08,11627.83,42,276.85,图书,线上
2024-01-08,7238.01,31,233.48,图书,线下
2024-01-08,4381.63,99,44.26,图书,小程序
2024-01-08,3381.19,99,34.15,图书,APP
2024-01-08,11029.7,73,151.09,家居,线上
2024-01-08,7084.02,69,102.67,家居,线下
2024-01-08,6658.23,101,65.92,家居,小程序
2024-01-08,12691.7,50,253.83,家居,APP
2024-01-08,6485.58,60,108.09,食品,线上
2024-01-08,6497.78,23,282.51,食品,线下
2024-01-08,14993.7,46,325.95,食品,小程序
2024-01-08,5665.64,109,51.98,食品,APP
2024-01-08,9919.28,89,111.45,美妆,线上
2024-01-08,4858.81,92,52.81,美妆,线下
2024-01-08,10226.0,63,162.32,美妆,小程序
2024-01-08,3986.28,106,37.61,美妆,APP
2024-01-09,9856.79,32,308.02,电子产品,线上
2024-01-09,4738.7,140,33.85,电子产品,线下
2024-01-09,14379.07,32,449.35,电子产品,小程序
2024-01-09,4437.64,33,134.47,电子产品,APP
2024-01-09,4190.69,120,34.92,服装,线上
2024-01-09,5348.49,134,39.91,服装,线下
2024-01-09,10801.08,99,109.1,服装,小程序
2024-01-09,7260.42,70,103.72,服装,APP
2024-01-09,12005.27,40,300.13,图书,线上
2024-01-09,15256.67,139,109.76,图书,线下
2024-01-09,10196.07,43,237.12,图书,小程序
2024-01-09,13251.46,139,95.33,图书,APP
2024-01-09,4329.62,99,43.73,家居,线上
2024-01-09,11650.92,139,83.82,家居,线下
2024-01-09,8983.65,77,116.67,家居,小程序
2024-01-09,4908.86,86,57.08,家居,APP
2024-01-09,14498.37,120,120.82,食品,线上
2024-01-09,5402.98,104,51.95,食品,线下
2024-01-09,12951.33,103,125.74,食品,小程序
2024-01-09,8768.42,27,324.76,食品,APP
2024-01-09,3931.92,48,81.92,美妆,线上
2024-01-09,7498.67,138,54.34,美妆,线下
2024-01-09,13661.84,92,148.5,美妆,小程序
2024-01-09,12691.53,52,244.07,美妆,APP
2024-01-10,9494.73,123,77.19,电子产品,线上
2024-01-10,13373.09,47,284.53,电子产品,线下
2024-01-10,7213.84,38,189.84,电子产品,小程序
2024-01-10,13058.39,138,94.63,电子产品,APP
2024-01-10,8152.69,125,65.22,服装,线上
2024-01-10,6120.31,82,74.64,服装,线下
2024-01-10,9995.8,143,69.9,服装,小程序
2024-01-10,7939.73,107,74.2,服装,APP
2024-01-10,5740.29,130,44.16,图书,线上
2024-01-10,12956.71,131,98.91,图书,线下
2024-01-10,10237.09,107,95.67,图书,小程序
2024-01-10,9952.93,80,124.41,图书,APP
2024-01-10,5299.93,39,135.9,家居,线上
2024-01-10,12393.66,144,86.07,家居,线下
2024-01-10,4563.82,138,33.07,家居,小程序
2024-01-10,7207.68,44,163.81,家居,APP
2024-01-10,13429.08,65,206.6,食品,线上
2024-01-10,6990.44,123,56.83,食品,线下
2024-01-10,4003.68,47,85.18,食品,小程序
2024-01-10,11718.99,117,100.16,食品,APP
2024-01-10,7233.11,35,206.66,美妆,线上
2024-01-10,4265.81,55,77.56,美妆,线下
2024-01-10,14246.32,20,712.32,美妆,小程序
2024-01-10,12615.52,58,217.51,美妆,APP
2024-01-11,8847.64,94,94.12,电子产品,线上
2024-01-11,8054.82,134,60.11,电子产品,线下
2024-01-11,5609.16,101,55.54,电子产品,小程序
2024-01-11,6918.97,97,71.33,电子产品,APP
2024-01-11,14706.76,131,112.27,服装,线上
2024-01-11,12180.62,108,112.78,服装,线下
2024-01-11,15610.28,22,709.56,服装,小程序
2024-01-11,10842.72,150,72.28,服装,APP
2024-01-11,8233.73,52,158.34,图书,线上
2024-01-11,13876.13,35,396.46,图书,线下
2024-01-11,7793.54,33,236.17,图书,小程序
2024-01-11,3157.11,111,28.44,图书,APP
2024-01-11,4527.16,92,49.21,家居,线上
2024-01-11,14041.94,80,175.52,家居,线下
2024-01-11,8580.07,120,71.5,家居,小程序
2024-01-11,11015.45,117,94.15,家居,APP
2024-01-11,8256.83,131,63.03,食品,线上
2024-01-11,10007.37,64,156.37,食品,线下
2024-01-11,9123.23,68,134.17,食品,小程序
2024-01-11,10137.04,112,90.51,食品,APP
2024-01-11,13718.27,59,232.51,美妆,线上
2024-01-11,6777.19,52,130.33,美妆,线下
2024-01-11,4836.52,38,127.28,美妆,小程序
2024-01-11,11307.13,56,201.91,美妆,APP
2024-01-12,12282.84,144,85.3,电子产品,线上
2024-01-12,11480.97,54,212.61,电子产品,线下
2024-01-12,4231.91,126,33.59,电子产品,小程序
2024-01-12,14038.17,128,109.67,电子产品,APP
2024-01-12,11042.45,136,81.19,服装,线上
2024-01-12,9603.0,135,71.13,服装,线下
2024-01-12,8026.13,77,104.24,服装,小程序
2024-01-12,5510.69,21,262.41,服装,APP
2024-01-12,10469.5,80,130.87,图书,线上
2024-01-12,12166.38,88,138.25,图书,线下
2024-01-12,8356.47,113,73.95,图书,小程序
2024-01-12,3584.45,29,123.6,图书,APP
2024-01-12,10345.71,114,90.75,家居,线上
2024-01-12,4592.31,143,32.11,家居,线下
2024-01-12,15322.74,40,383.07,家居,小程序
2024-01-12,4958.05,91,54.48,家居,APP
2024-01-12,9040.56,40,226.01,食品,线上
2024-01-12,9779.3,42,232.84,食品,线下
2024-01-12,6262.33,39,160.57,食品,小程序
2024-01-12,11811.61,99,119.31,食品,APP
2024-01-12,10913.35,107,101.99,美妆,线上
2024-01-12,9926.95,22,451.23,美妆,线下
2024-01-12,9090.28,140,64.93,美妆,小程序
2024-01-12,10419.26,104,100.19,美妆,APP
2024-01-13,8525.02,95,89.74,电子产品,线上
2024-01-13,6850.45,29,236.22,电子产品,线下
2024-01-13,12006.53,97,123.78,电子产品,小程序
2024-01-13,12412.07,86,144.33,电子产品,APP
2024-01-13,3956.45,141,28.06,服装,线上
2024-01-13,10521.23,33,318.83,服装,线下
2024-01-13,11514.47,94,122.49,服装,小程序
2024-01-13,13452.89,26,517.42,服装,APP
2024-01-13,6820.05,41,166.34,图书,线上
2024-01-13,4787.38,39,122.75,图书,线下
2024-01-13,13993.47,91,153.77,图书,小程序
2024-01-13,6378.38,91,70.09,图书,APP
2024-01-13,6672.69,85,78.5,家居,线上
2024-01-13,3356.6,48,69.93,家居,线下
2024-01-13,10847.5,58,187.03,家居,小程序
2024-01-13,11550.5,114,101.32,家居,APP
2024-01-13,13439.49,86,156.27,食品,线上
2024-01-13,13117.89,80,163.97,食品,线下
2024-01-13,9336.88,28,333.46,食品,小程序
2024-01-13,7531.92,41,183.71,食品,APP
2024-01-13,15465.94,59,262.13,美妆,线上
2024-01-13,13817.75,125,110.54,美妆,线下
2024-01-13,12963.41,80,162.04,美妆,小程序
2024-01-13,11569.7,62,186.61,美妆,APP
2024-01-14,5882.44,108,54.47,电子产品,线上
2024-01-14,3884.46,87,44.65,电子产品,线下
2024-01-14,12834.14,49,261.92,电子产品,小程序
2024-01-14,3861.45,138,27.98,电子产品,APP
2024-01-14,8280.67,97,85.37,服装,线上
2024-01-14,9270.16,79,117.34,服装,线下
2024-01-14,8038.87,119,67.55,服装,小程序
2024-01-14,9248.76,57,162.26,服装,APP
2024-01-14,9961.67,131,76.04,图书,线上
2024-01-14,3342.46,134,24.94,图书,线下
2024-01-14,8066.99,100,80.67,图书,小程序
2024-01-14,15467.11,30,515.57,图书,APP
2024-01-14,4433.81,110,40.31,家居,线上
2024-01-14,15395.9,130,118.43,家居,线下
2024-01-14,10983.36,89,123.41,家居,小程序
2024-01-14,7466.61,88,84.85,家居,APP
2024-01-14,13431.91,85,158.02,食品,线上
2024-01-14,11543.16,120,96.19,食品,线下
2024-01-14,9076.69,81,112.06,食品,小程序
2024-01-14,12563.91,69,182.09,食品,APP
2024-01-14,9827.78,66,148.91,美妆,线上
2024-01-14,7189.65,22,326.8,美妆,线下
2024-01-14,11778.77,37,318.35,美妆,小程序
2024-01-14,3343.71,45,74.3,美妆,APP
2024-01-15,9941.8,134,74.19,电子产品,线上
2024-01-15,7713.7,92,83.84,电子产品,线下
2024-01-15,6436.2,28,229.86,电子产品,小程序
2024-01-15,3509.87,43,81.62,电子产品,APP
2024-01-15,3935.38,75,52.47,服装,线上
2024-01-15,15394.78,51,301.86,服装,线下
2024-01-15,12286.13,50,245.72,服装,小程序
2024-01-15,4313.74,53,81.39,服装,APP
2024-01-15,8027.14,67,119.81,图书,线上
2024-01-15,14696.05,67,219.34,图书,线下
2024-01-15,6454.66,139,46.44,图书,小程序
2024-01-15,11675.75,39,299.38,图书,APP
2024-01-15,11397.51,90,126.64,家居,线上
2024-01-15,13072.02,102,128.16,家居,线下
2024-01-15,6505.96,38,171.21,家居,小程序
2024-01-15,6761.81,35,193.19,家居,APP
2024-01-15,8114.86,105,77.28,食品,线上
2024-01-15,15977.87,86,185.79,食品,线下
2024-01-15,15460.4,87,177.71,食品,小程序
2024-01-15,5487.67,37,148.32,食品,APP
2024-01-15,9511.66,71,133.97,美妆,线上
2024-01-15,11032.3,65,169.73,美妆,线下
2024-01-15,11483.46,47,244.33,美妆,小程序
2024-01-15,5050.93,130,38.85,美妆,APP
2024-01-16,6034.46,47,128.39,电子产品,线上
2024-01-16,14978.48,86,174.17,电子产品,线下
2024-01-16,4551.57,38,119.78,电子产品,小程序
2024-01-16,4128.03,84,49.14,电子产品,APP
2024-01-16,13234.41,24,551.43,服装,线上
2024-01-16,14771.09,58,254.67,服装,线下
2024-01-16,11632.07,20,581.6,服装,小程序
2024-01-16,15239.81,119,128.07,服装,APP
2024-01-16,6653.51,104,63.98,图书,线上
2024-01-16,14875.52,20,743.78,图书,线下
2024-01-16,9860.81,145,68.01,图书,小程序
2024-01-16,9380.98,123,76.27,图书,APP
2024-01-16,14095.18,37,380.95,家居,线上
2024-01-16,10179.62,20,508.98,家居,线下
2024-01-16,8173.6,143,57.16,家居,小程序
2024-01-16,4782.4,111,43.08,家居,APP
2024-01-16,7516.75,97,77.49,食品,线上
2024-01-16,8382.2,43,194.93,食品,线下
2024-01-16,7927.93,107,74.09,食品,小程序
2024-01-16,4257.44,137,31.08,食品,APP
2024-01-16,13018.17,94,138.49,美妆,线上
2024-01-16,11566.71,65,177.95,美妆,线下
2024-01-16,10364.46,118,87.83,美妆,小程序
2024-01-16,11733.44,96,122.22,美妆,APP
2024-01-17,12242.89,47,260.49,电子产品,线上
2024-01-17,11398.14,111,102.69,电子产品,线下
2024-01-17,9532.83,132,72.22,电子产品,小程序
2024-01-17,12753.41,55,231.88,电子产品,APP
2024-01-17,3697.9,26,142.23,服装,线上
2024-01-17,12551.68,81,154.96,服装,线下
2024-01-17,9568.15,36,265.78,服装,小程序
2024-01-17,13496.55,98,137.72,服装,APP
2024-01-17,9703.43,135,71.88,图书,线上
2024-01-17,15746.56,24,656.11,图书,线下
2024-01-17,3715.3,34,109.27,图书,小程序
2024-01-17,7607.05,30,253.57,图书,APP
2024-01-17,8484.47,74,114.65,家居,线上
2024-01-17,13682.47,137,99.87,家居,线下
2024-01-17,15403.76,58,265.58,家居,小程序
2024-01-17,12827.54,79,162.37,家居,APP
2024-01-17,15206.06,29,524.35,食品,线上
2024-01-17,12755.16,145,87.97,食品,线下
2024-01-17,11698.62,140,83.56,食品,小程序
2024-01-17,14977.78,31,483.15,食品,APP
2024-01-17,6376.97,53,120.32,美妆,线上
2024-01-17,3421.77,32,106.93,美妆,线下
2024-01-17,14945.21,44,339.66,美妆,小程序
2024-01-17,9140.4,63,145.09,美妆,APP
2024-01-18,14113.2,36,392.03,电子产品,线上
2024-01-18,13884.97,47,295.42,电子产品,线下
2024-01-18,4735.55,76,62.31,电子产品,小程序
2024-01-18,4071.48,71,57.34,电子产品,APP
2024-01-18,8793.01,122,72.07,服装,线上
2024-01-18,7466.97,55,135.76,服装,线下
2024-01-18,7432.58,74,100.44,服装,小程序
2024-01-18,13188.35,64,206.07,服装,APP
2024-01-18,7613.5,50,152.27,图书,线上
2024-01-18,6812.36,126,54.07,图书,线下
2024-01-18,5436.06,114,47.68,图书,小程序
2024-01-18,10446.98,132,79.14,图书,APP
2024-01-18,6419.03,30,213.97,家居,线上
2024-01-18,4985.1,116,42.98,家居,线下
2024-01-18,13363.03,24,556.79,家居,小程序
2024-01-18,14688.92,40,367.22,家居,APP
2024-01-18,3333.4,65,51.28,食品,线上
2024-01-18,15293.71,92,166.24,食品,线下
2024-01-18,8663.11,141,61.44,食品,小程序
2024-01-18,12253.81,72,170.19,食品,APP
2024-01-18,5111.46,89,57.43,美妆,线上
2024-01-18,10052.71,125,80.42,美妆,线下
2024-01-18,6361.93,64,99.41,美妆,小程序
2024-01-18,11189.87,29,385.86,美妆,APP
2024-01-19,11055.22,147,75.21,电子产品,线上
2024-01-19,11261.34,42,268.13,电子产品,线下
2024-01-19,11459.14,97,118.14,电子产品,小程序
2024-01-19,7810.02,21,371.91,电子产品,APP
2024-01-19,10551.48,69,152.92,服装,线上
2024-01-19,4800.92,44,109.11,服装,线下
2024-01-19,11351.1,149,76.18,服装,小程序
2024-01-19,6130.36,73,83.98,服装,APP
2024-01-19,6876.94,69,99.67,图书,线上
2024-01-19,4737.84,58,81.69,图书,线下
2024-01-19,12217.5,141,86.65,图书,小程序
2024-01-19,9765.12,60,162.75,图书,APP
2024-01-19,12020.23,31,387.75,家居,线上
2024-01-19,3971.65,113,35.15,家居,线下
2024-01-19,6989.78,131,53.36,家居,小程序
2024-01-19,6549.77,136,48.16,家居,APP
2024-01-19,3831.74,33,116.11,食品,线上
2024-01-19,15347.73,65,236.12,食品,线下
2024-01-19,5330.48,27,197.43,食品,小程序
2024-01-19,9602.43,49,195.97,食品,APP
2024-01-19,4191.53,80,52.39,美妆,线上
2024-01-19,12689.87,103,123.2,美妆,线下
2024-01-19,8740.31,103,84.86,美妆,小程序
2024-01-19,6271.28,48,130.65,美妆,APP
2024-01-20,7560.96,45,168.02,电子产品,线上
2024-01-20,6392.78,125,51.14,电子产品,线下
2024-01-20,14697.01,116,126.7,电子产品,小程序
2024-01-20,14978.89,38,394.18,电子产品,APP
2024-01-20,9462.03,144,65.71,服装,线上
2024-01-20,3994.05,131,30.49,服装,线下
2024-01-20,5183.07,136,38.11,服装,小程序
2024-01-20,5617.72,115,48.85,服装,APP
2024-01-20,5071.04,69,73.49,图书,线上
2024-01-20,11575.35,89,130.06,图书,线下
2024-01-20,5934.66,52,114.13,图书,小程序
2024-01-20,3702.11,35,105.77,图书,APP
2024-01-20,6963.47,48,145.07,家居,线上
2024-01-20,14457.7,137,105.53,家居,线下
2024-01-20,8769.54,107,81.96,家居,小程序
2024-01-20,6166.2,95,64.91,家居,APP
2024-01-20,11202.83,63,177.82,食品,线上
2024-01-20,10867.98,78,139.33,食品,线下
2024-01-20,4415.77,145,30.45,食品,小程序
2024-01-20,14596.12,75,194.61,食品,APP
2024-01-20,11044.62,138,80.03,美妆,线上
2024-01-20,6944.66,129,53.83,美妆,线下
2024-01-20,12942.28,83,155.93,美妆,小程序
2024-01-20,6533.37,131,49.87,美妆,APP
2024-01-21,10935.69,58,188.55,电子产品,线上
2024-01-21,15342.94,21,730.62,电子产品,线下
2024-01-21,8803.9,31,284.0,电子产品,小程序
2024-01-21,3824.13,140,27.32,电子产品,APP
2024-01-21,12966.15,149,87.02,服装,线上
2024-01-21,3739.25,120,31.16,服装,线下
2024-01-21,9614.69,45,213.66,服装,小程序
2024-01-21,9260.99,81,114.33,服装,APP
2024-01-21,4391.48,23,190.93,图书,线上
2024-01-21,12434.62,124,100.28,图书,线下
2024-01-21,15819.93,53,298.49,图书,小程序
2024-01-21,8021.22,81,99.03,图书,APP
2024-01-21,11834.49,43,275.22,家居,线上
2024-01-21,3506.02,98,35.78,家居,线下
2024-01-21,5429.21,137,39.63,家居,小程序
2024-01-21,14606.85,26,561.8,家居,APP
2024-01-21,16169.13,138,117.17,食品,线上
2024-01-21,13471.87,123,109.53,食品,线下
2024-01-21,5734.32,114,50.3,食品,小程序
2024-01-21,11559.88,20,577.99,食品,APP
2024-01-21,14639.28,38,385.24,美妆,线上
2024-01-21,8370.25,105,79.72,美妆,线下
2024-01-21,10295.65,95,108.38,美妆,小程序
2024-01-21,8911.1,89,100.12,美妆,APP
2024-01-22,12556.48,73,172.01,电子产品,线上
2024-01-22,13743.67,40,343.59,电子产品,线下
2024-01-22,11528.71,105,109.8,电子产品,小程序
2024-01-22,13055.87,34,384.0,电子产品,APP
2024-01-22,10128.52,113,89.63,服装,线上
2024-01-22,15071.9,48,314.0,服装,线下
2024-01-22,8383.15,139,60.31,服装,小程序
2024-01-22,11511.2,113,101.87,服装,APP
2024-01-22,8164.32,37,220.66,图书,线上
2024-01-22,10738.05,72,149.14,图书,线下
2024-01-22,5144.23,105,48.99,图书,小程序
2024-01-22,6471.68,49,132.08,图书,APP
2024-01-22,11907.28,73,163.11,家居,线上
2024-01-22,13286.49,77,172.55,家居,线下
2024-01-22,7555.49,88,85.86,家居,小程序
2024-01-22,9980.57,128,77.97,家居,APP
2024-01-22,6981.76,36,193.94,食品,线上
2024-01-22,8248.83,135,61.1,食品,线下
2024-01-22,9750.93,51,191.19,食品,小程序
2024-01-22,9538.18,94,101.47,食品,APP
2024-01-22,9297.32,114,81.56,美妆,线上
2024-01-22,13905.41,36,386.26,美妆,线下
2024-01-22,5805.76,137,42.38,美妆,小程序
2024-01-22,4467.47,120,37.23,美妆,APP
2024-01-23,15273.47,93,164.23,电子产品,线上
2024-01-23,16075.9,39,412.2,电子产品,线下
2024-01-23,4781.36,90,53.13,电子产品,小程序
2024-01-23,4816.75,57,84.5,电子产品,APP
2024-01-23,9929.93,72,137.92,服装,线上
2024-01-23,10254.03,25,410.16,服装,线下
2024-01-23,7226.89,53,136.36,服装,小程序
2024-01-23,9631.58,127,75.84,服装,APP
2024-01-23,9231.84,25,369.27,图书,线上
2024-01-23,7204.9,36,200.14,图书,线下
2024-01-23,3619.46,79,45.82,图书,小程序
2024-01-23,14435.27,105,137.48,图书,APP
2024-01-23,8803.83,107,82.28,家居,线上
2024-01-23,12051.18,103,117.0,家居,线下
2024-01-23,9794.48,133,73.64,家居,小程序
2024-01-23,9420.06,53,177.74,家居,APP
2024-01-23,15277.94,98,155.9,食品,线上
2024-01-23,5611.23,86,65.25,食品,线下
2024-01-23,6343.6,115,55.16,食品,小程序
2024-01-23,16241.78,32,507.56,食品,APP
2024-01-23,5299.91,92,57.61,美妆,线上
2024-01-23,9392.38,62,151.49,美妆,线下
2024-01-23,11557.16,61,189.46,美妆,小程序
2024-01-23,12796.95,93,137.6,美妆,APP
2024-01-24,5777.75,64,90.28,电子产品,线上
2024-01-24,14559.72,59,246.77,电子产品,线下
2024-01-24,5496.72,49,112.18,电子产品,小程序
2024-01-24,3891.45,101,38.53,电子产品,APP
2024-01-24,11020.39,132,83.49,服装,线上
2024-01-24,6821.97,67,101.82,服装,线下
2024-01-24,6083.49,28,217.27,服装,小程序
2024-01-24,12237.05,108,113.31,服装,APP
2024-01-24,5318.82,134,39.69,图书,线上
2024-01-24,10557.15,61,173.07,图书,线下
2024-01-24,10473.97,51,205.37,图书,小程序
