客户ID,注册时长(月),使用频率,消费金额,最后一次使用(天前),客服投诉次数,是否流失
C0083,11,6,9434.52,283,4,0
C0084,51,19,8464.74,27,1,0
C0085,52,11,7739.94,81,7,0
C0086,41,30,1792.8,141,9,1
C0087,44,25,8482.68,220,5,0
C0088,14,26,6260.52,255,4,0
C0089,38,30,5659.21,28,2,0
C0090,15,22,5194.22,138,0,0
C0091,4,18,2659.17,46,5,0
C0092,6,5,2864.54,213,9,1
C0093,48,11,4724.37,164,3,0
C0094,35,11,738.45,104,10,1
C0095,39,28,4846.64,362,3,0
C0096,40,10,4201.44,160,2,0
C0097,48,6,266.57,31,8,0
C0098,2,13,7916.5,105,4,0
C0099,5,3,5295.74,256,8,1
C0100,32,7,4515.79,267,2,0
C0101,58,12,9966.17,97,10,1
C0102,14,23,5100.51,147,1,0
C0103,40,3,4835.58,197,0,1
C0104,16,7,9854.89,347,3,0
C0105,53,12,2954.16,45,8,0
C0106,16,14,6544.28,221,0,0
C0107,44,1,6323.09,102,1,1
C0108,15,16,9110.41,277,0,0
C0109,44,30,714.8,298,3,0
C0110,32,24,9765.59,212,7,1
C0111,30,26,4664.58,123,6,1
C0112,22,25,9543.62,194,4,0
C0113,20,11,6193.93,30,3,0
C0114,33,4,6153.14,357,4,1
C0115,13,12,7726.6,57,1,0
C0116,9,13,6261.41,294,5,0
C0117,16,27,540.7,317,2,0
C0118,16,7,6545.37,43,3,0
C0119,48,3,3147.69,336,8,1
C0120,21,11,7479.78,15,7,1
C0121,25,9,222.77,71,6,1
C0122,29,10,7187.15,164,10,1
C0123,8,24,8257.74,157,8,1
C0124,31,14,1614.01,216,4,0
C0125,16,24,9888.02,339,2,0
C0126,57,27,8920.2,233,3,0
C0127,38,10,584.12,291,5,0
C0128,59,6,3481.52,342,0,0
C0129,48,26,7761.08,185,8,1
C0130,40,7,4566.81,58,2,0
C0131,12,18,2681.45,287,9,1
C0132,58,3,5937.82,302,4,1
C0133,54,20,3614.45,43,6,0
C0134,22,20,5844.65,362,9,1
C0135,18,11,8370.3,202,10,1
C0136,19,10,4353.96,165,2,0
C0137,38,1,350.21,38,5,0
C0138,56,5,9784.02,270,6,1
C0139,32,18,3686.51,131,7,1
C0140,57,1,7885.26,258,9,1
C0141,31,25,4906.27,352,5,0
C0142,8,29,6864.31,193,7,1
C0143,3,24,9336.52,348,3,0
C0144,10,25,6434.71,176,0,0
C0145,59,17,6991.9,30,4,0
C0146,30,16,9008.07,17,10,0
C0147,18,23,8513.62,22,10,0
C0148,27,4,2254.52,153,0,1
C0149,48,16,5894.68,66,10,0
C0150,25,29,2718.54,247,5,0
C0151,32,12,2921.38,92,8,1
C0152,46,30,6683.07,104,2,0
C0153,49,13,4924.36,258,5,0
C0154,23,22,569.68,201,8,1
C0155,60,17,748.85,184,7,1
C0156,8,23,3284.76,213,10,1
C0157,27,3,8603.06,213,8,1
C0158,38,29,3050.09,23,9,0
C0159,60,24,2427.88,129,6,1
C0160,41,1,3449.27,190,5,1
C0161,8,23,4162.54,37,3,0
C0162,22,14,9842.35,96,2,0
C0163,24,30,792.66,77,5,0
C0164,26,3,5954.92,42,2,0
C0165,28,29,5696.71,160,8,1
C0166,54,25,7012.2,199,9,1
C0167,32,18,3076.52,247,9,1
C0168,49,27,5099.3,311,6,1
C0169,48,7,898.48,218,3,0
C0170,11,16,6288.4,134,3,0
C0171,57,27,9892.82,93,5,0
C0172,47,3,4248.46,69,3,1
C0173,8,5,4852.63,208,9,1
C0174,59,23,7673.2,57,7,0
C0175,7,25,6079.09,293,8,1
C0176,56,14,2474.98,350,10,1
C0177,2,27,5265.45,342,5,0
C0178,25,1,4229.61,77,2,0
C0179,27,7,3515.57,241,3,0
C0180,23,16,4575.0,201,9,1
C0181,47,10,1703.7,312,8,1
C0182,20,26,695.6,153,0,0
C0183,46,2,2210.03,82,7,1
C0184,14,1,2219.12,66,4,0
C0185,12,23,4472.67,356,6,1
C0186,14,24,7948.34,66,10,0
C0187,51,11,8398.58,42,1,0
C0188,45,25,1554.91,125,8,1
C0189,1,22,8438.53,345,9,1
C0190,22,17,6678.66,212,2,0
C0191,36,11,2038.71,333,10,1
C0192,56,3,7116.2,49,10,1
C0193,60,6,5050.04,41,7,0
C0194,39,1,8104.92,108,10,1
C0195,26,14,3880.13,118,6,1
C0196,42,24,9388.2,156,7,1
C0197,12,17,782.7,127,2,0
C0198,55,11,5836.05,144,5,1
C0199,13,22,4938.79,26,2,0
C0200,39,9,9879.5,16,3,0
C0201,14,12,6347.77,102,10,1
C0202,48,4,6618.5,80,4,0
C0203,9,28,6908.27,353,5,0
C0204,54,4,5841.37,176,0,1
C0205,53,26,8291.91,128,0,0
C0206,33,15,5576.72,234,1,0
C0207,55,25,4010.27,78,4,0
C0208,40,10,7965.06,310,1,0
C0209,11,26,7246.12,259,3,0
C0210,58,6,9097.76,38,5,0
C0211,38,15,4445.09,212,4,0
C0212,16,13,7272.53,210,5,0
C0213,54,12,1419.78,86,2,0
C0214,52,25,3897.95,291,10,1
C0215,21,22,2725.49,289,10,1
C0216,53,1,8899.23,68,9,1
C0217,20,18,8565.73,298,4,0
C0218,55,24,8153.26,164,7,1
C0219,31,27,8097.44,210,6,1
C0220,5,24,8820.04,278,8,1
C0221,55,14,3465.45,175,0,0
C0222,57,30,387.92,299,1,0
C0223,39,12,7216.62,228,8,1
C0224,13,5,9463.59,289,10,1
C0225,48,26,7651.82,303,3,0
C0226,1,30,1214.37,146,1,0
C0227,30,1,4179.93,55,8,1
C0228,50,11,6729.98,210,0,0
C0229,32,18,463.8,225,2,1
C0230,9,1,9028.69,115,10,1
C0231,46,7,5528.28,282,1,0
C0232,11,1,7595.6,296,9,1
C0233,28,13,8531.65,220,3,0
C0234,2,7,6486.34,115,4,0
C0235,33,8,9869.92,193,5,0
C0236,1,15,6423.96,297,10,1
C0237,45,1,3507.69,338,5,1
C0238,32,26,2905.67,100,9,1
C0239,27,16,4809.25,163,4,0
C0240,29,7,6030.31,39,6,0
C0241,39,1,5923.92,175,4,1
C0242,28,29,5520.03,273,7,1
C0243,48,8,7200.88,26,5,0
C0244,33,14,5361.31,30,2,0
C0245,7,5,9677.74,91,6,1
C0246,54,29,4224.75,162,4,0
C0247,50,17,8951.13,352,0,0
C0248,34,2,3093.26,47,4,0
C0249,54,11,6103.54,240,0,1
C0250,5,30,5820.07,29,0,0
C0251,34,17,9384.94,132,6,1
C0252,29,30,7594.85,119,10,1
C0253,20,24,4986.66,125,6,1
C0254,49,19,2358.17,294,10,1
C0255,3,18,6063.61,54,3,0
C0256,34,11,9465.84,194,7,1
C0257,5,17,2229.4,56,3,0
C0258,23,10,1302.23,339,8,1
C0259,41,9,6564.72,364,2,0
C0260,5,4,911.54,299,10,1
C0261,3,7,7569.18,308,4,0
C0262,1,19,2973.38,339,9,1
C0263,19,3,8265.63,161,9,1
C0264,29,20,6267.31,302,0,0
C0265,15,25,7727.42,127,8,1
C0266,35,23,4504.2,215,7,1
C0267,25,28,4330.55,324,6,1
C0268,54,6,8423.36,269,9,1
C0269,21,29,9953.77,37,3,0
C0270,54,10,216.12,109,9,1
C0271,40,27,9739.05,282,3,0
C0272,19,10,6707.76,335,3,1
C0273,7,17,2005.7,123,2,0
C0274,37,22,2085.06,320,10,1
C0275,53,15,7071.16,93,6,1
C0276,49,13,2461.44,86,0,0
C0277,23,30,3123.73,41,8,0
C0278,15,8,8257.79,54,1,0
C0279,33,14,611.98,225,7,1
C0280,26,27,4550.58,37,9,0
C0281,46,26,8744.84,341,8,1
C0282,36,20,1391.0,18,3,0
C0283,10,17,9702.73,228,5,0
C0284,18,2,3607.34,320,2,1
C0285,16,22,8367.81,108,6,1
C0286,1,13,4407.17,272,7,1
C0287,8,20,8725.54,87,4,0
C0288,31,22,9291.71,194,5,0
C0289,57,15,688.24,208,4,0
C0290,27,16,9482.85,358,5,0
C0291,48,10,3197.73,232,5,0
C0292,23,15,7205.8,153,10,1
C0293,52,27,5206.17,75,5,0
C0294,27,21,8444.16,310,9,1
C0295,4,23,1169.39,267,5,0
C0296,49,30,1075.11,58,5,0
C0297,31,29,2534.08,119,8,1
C0298,56,12,791.95,236,6,1
C0299,19,24,4233.58,19,10,0
C0300,43,14,7521.52,273,0,0
C0301,35,7,5064.85,108,1,0
C0302,15,9,4367.48,360,0,0
C0303,32,11,5116.0,220,0,0
C0304,41,10,7478.21,177,6,1
C0305,13,23,2448.4,106,8,1
C0306,37,5,2479.89,320,5,0
C0307,50,11,4548.1,174,1,0
C0308,57,28,3405.57,241,8,1
C0309,41,5,4054.16,275,8,1
C0310,1,27,6416.37,86,4,0
C0311,48,28,9084.57,238,1,0
C0312,43,17,7487.04,200,2,0
C0313,45,17,9097.28,194,9,1
C0314,60,15,9587.9,129,7,1
C0315,27,24,8064.06,111,10,1
C0316,31,1,2130.72,285,5,1
C0317,42,9,4722.36,228,2,0
C0318,7,19,9909.23,97,1,0
C0319,10,6,7252.84,144,1,0
C0320,46,6,9334.93,360,3,0
C0321,49,23,59.71,201,2,0
C0322,44,19,2544.52,49,8,0
C0323,22,12,2818.14,277,9,1
C0324,11,11,5410.78,272,3,0
C0325,50,1,559.1,119,5,1
C0326,26,8,328.5,82,8,0
C0327,31,7,3297.52,156,9,1
C0328,1,10,9839.35,297,8,1
C0329,25,12,4458.14,219,8,1
C0330,38,23,4395.03,72,1,0
C0331,50,24,7947.87,31,8,0
C0332,55,18,4107.44,275,5,0
C0333,41,7,3015.66,198,0,0
C0334,34,27,8738.61,276,2,0
C0335,37,6,8517.83,279,7,1
C0336,12,17,5999.95,334,10,1
C0337,19,13,4694.97,341,3,0
C0338,5,13,2063.46,9,8,0
C0339,3,4,4717.44,202,2,1
C0340,33,25,192.1,107,6,1
C0341,20,20,538.56,146,10,1
C0342,32,10,5731.08,324,1,0
C0343,16,9,8539.67,363,3,0
C0344,44,2,2325.94,49,0,0
C0345,45,4,3912.48,121,6,1
C0346,28,6,9848.09,74,8,0
C0347,54,11,3094.97,149,0,0
C0348,22,15,6172.45,194,2,0
C0349,37,12,805.73,54,10,1
C0350,20,17,4298.55,19,6,0
C0351,50,14,7487.2,338,0,0
C0352,25,29,110.97,215,9,1
C0353,2,21,1083.84,135,9,1
C0354,43,11,2032.55,325,9,1
C0355,7,30,8237.12,195,2,0
C0356,18,3,9645.82,214,6,1
C0357,41,16,5479.6,148,5,0
C0358,56,30,2247.45,76,1,0
C0359,4,28,1818.11,350,4,0
C0360,14,25,5272.08,100,5,0
C0361,17,28,8362.81,236,1,0
C0362,42,30,202.35,238,2,0
C0363,24,1,1730.86,339,10,1
C0364,2,12,6405.01,16,6,0
C0365,7,9,5431.84,120,3,0
C0366,50,4,5021.18,42,4,0
C0367,49,11,3600.48,34,2,0
C0368,52,28,5546.41,85,4,0
C0369,38,6,1608.31,93,8,1
C0370,43,29,5511.3,183,10,1
C0371,12,2,5114.66,349,5,1
C0372,9,4,8455.19,201,8,1
C0373,1,4,9723.28,81,6,1
C0374,39,14,1704.13,24,5,0
C0375,31,24,2318.33,365,2,0
C0376,59,20,680.39,308,4,0
C0377,16,27,9643.93,87,5,1
C0378,49,6,4889.12,308,6,1
C0379,53,5,7893.86,123,8,1
C0380,15,17,9604.81,152,0,0
C0381,60,22,8405.88,247,10,1
C0382,26,12,2606.06,306,9,1
C0383,38,9,1585.88,288,5,0
C0384,2,7,2286.41,14,8,0
C0385,17,27,1005.49,285,6,1
C0386,42,8,8303.41,303,10,1
C0387,3,17,3227.27,11,5,0
C0388,49,27,2760.2,344,8,1
C0389,55,16,6624.87,172,9,1
C0390,2,27,3183.78,286,2,0
C0391,30,16,1745.43,31,9,0
C0392,17,10,2608.7,294,3,0
C0393,45,3,4743.07,249,4,1
C0394,55,23,148.36,103,4,0
C0395,34,22,8902.16,353,4,0
C0396,34,13,3329.06,250,3,0
C0397,50,9,6008.81,208,6,1
C0398,1,15,1394.25,202,6,1
C0399,47,2,7686.5,241,4,1
C0400,7,5,116.47,55,8,1
C0401,28,17,5962.41,257,10,1
C0402,10,12,8409.93,68,8,0
C0403,38,21,2856.29,157,3,0
C0404,50,12,1213.82,10,2,0
C0405,50,23,3319.66,226,5,0
C0406,59,14,4216.42,149,8,1
C0407,60,2,2209.43,51,6,1
C0408,13,13,4725.31,36,7,0
C0409,17,27,6492.88,35,3,0
C0410,32,13,8869.74,81,9,0
C0411,33,8,7570.86,113,0,0
C0412,40,25,9781.87,124,9,1
C0413,24,5,7417.95,204,0,0
C0414,35,12,1922.65,308,8,1
C0415,54,15,8802.66,149,0,0
C0416,17,20,8106.32,251,4,0
C0417,22,9,7288.76,104,10,1
C0418,56,21,4522.8,238,0,0
C0419,38,20,446.52,214,7,1
C0420,35,3,6051.39,187,6,1
C0421,56,11,5770.89,231,3,0
C0422,7,25,9298.16,340,3,0
C0423,17,1,3464.07,106,6,1
C0424,35,29,8496.74,298,1,0
C0425,34,28,7470.89,151,1,0
C0426,32,29,3172.03,320,10,1
C0427,18,29,2185.04,243,2,0
C0428,58,22,5053.46,260,7,1
C0429,43,15,8028.67,347,6,1
C0430,60,19,5902.53,199,5,0
C0431,12,8,4131.29,158,1,0
C0432,17,18,8597.16,226,8,1
C0433,59,23,4224.81,57,2,0
C0434,52,16,6957.68,282,1,0
C0435,10,27,7713.48,61,2,0
C0436,49,18,6256.74,274,8,1
C0437,24,30,6502.81,133,9,1
C0438,44,19,686.61,208,0,0
C0439,19,4,7204.47,179,10,1
C0440,36,25,3380.61,189,3,0
C0441,15,2,7076.26,143,3,1
C0442,30,29,4192.46,64,8,0
C0443,37,13,9710.88,12,7,0
C0444,28,25,6241.42,131,4,0
C0445,60,28,1000.01,157,0,1
C0446,48,24,2753.7,228,5,0
C0447,10,8,7753.54,63,0,0
C0448,20,25,451.48,311,7,1
C0449,11,19,4140.68,83,2,0
C0450,33,22,8988.84,157,2,0
C0451,14,24,2710.41,302,7,1
C0452,37,27,7421.47,77,5,0
C0453,55,21,9201.02,246,3,0
C0454,27,21,8248.9,165,4,0
C0455,24,17,9018.29,237,8,1
C0456,45,22,9676.91,125,10,1
C0457,31,30,715.92,31,5,0
C0458,38,24,6973.79,182,10,1
C0459,46,19,598.68,221,7,1
C0460,30,4,5604.54,100,6,1
C0461,1,25,6370.03,244,4,0
C0462,45,1,2608.99,81,5,0
C0463,51,2,515.08,62,3,0
C0464,27,22,3998.62,254,7,1
C0465,23,5,4828.95,1,7,0
C0466,10,29,4506.41,362,7,1
C0467,7,15,4328.25,167,0,0
C0468,51,25,2991.51,357,7,1
C0469,11,19,7220.97,13,4,0
C0470,36,21,1051.88,209,7,1
C0471,26,5,9332.58,86,7,1
C0472,48,12,3154.51,37,6,0
C0473,15,19,714.12,262,4,0
C0474,18,29,4850.8,172,6,1
C0475,4,27,2863.46,240,8,1
C0476,11,21,495.79,105,6,1
C0477,40,1,3938.27,56,5,0
C0478,45,12,376.5,95,6,1
C0479,59,3,2413.7,16,9,1
C0480,56,16,2303.03,70,2,0
C0481,44,2,8164.6,365,6,1
C0482,25,15,4382.5,166,4,0
C0483,21,8,7372.04,92,4,0
C0484,42,4,6931.48,211,9,1
C0485,18,8,3382.65,360,2,0
C0486,33,24,4371.64,38,7,0
C0487,1,12,5562.5,35,3,0
C0488,34,2,9538.03,232,3,1
C0489,12,4,2274.6,228,8,1
C0490,49,30,9130.56,287,6,1
C0491,19,12,3355.87,191,2,0
C0492,21,4,350.22,6,5,0
C0493,32,1,3673.49,81,9,1
C0494,24,2,5643.19,273,7,1
C0495,57,26,2706.02,48,2,0
C0496,22,30,6752.62,299,8,1
C0497,38,14,6575.21,163,8,1
C0498,26,20,1547.17,205,3,0
C0499,2,2,3859.61,96,5,1
C0500,43,12,675.94,45,7,0
C0501,38,28,7565.13,356,5,0
C0502,38,7,4772.49,267,4,0
C0503,14,3,8359.35,89,7,1
C0504,52,7,2707.83,129,5,0
C0505,2,22,708.07,253,6,1
C0506,45,6,1164.39,138,6,1
C0507,49,3,3997.28,350,6,1
C0508,5,11,1529.54,359,6,1
C0509,50,11,2520.2,73,2,0
C0510,51,9,9034.33,231,0,0
C0511,33,4,9803.24,2,1,0
C0512,45,4,1719.85,227,1,1
C0513,40,18,5375.68,23,8,0
C0514,43,9,2500.27,155,8,1
C0515,43,25,9177.28,332,1,0
C0516,58,13,5177.5,250,9,1
C0517,16,1,7291.89,267,0,1
C0518,21,17,5441.31,304,9,1
C0519,56,1,3330.52,336,8,1
C0520,3,18,1251.35,9,3,0
C0521,46,27,300.36,18,8,0
C0522,8,23,7231.04,25,5,0
C0523,46,8,3445.68,329,8,1
C0524,47,27,6590.05,303,9,1
C0525,3,21,1884.56,55,3,0
C0526,7,14,7031.47,292,4,0
C0527,57,5,9609.98,39,2,0
C0528,57,10,9061.89,230,6,1
C0529,50,9,1484.66,59,2,0
C0530,47,24,3499.83,269,3,0
C0531,11,2,4597.52,137,9,1
C0532,33,27,5622.0,135,9,1
C0533,58,23,7257.59,307,1,0
C0534,25,1,8626.7,77,0,0
C0535,6,24,8442.12,222,5,0
C0536,44,12,4979.59,62,6,0
C0537,32,28,8613.18,263,10,1
C0538,7,7,275.86,295,9,1
C0539,23,28,620.54,121,8,1
C0540,37,22,7550.33,149,10,1
C0541,7,13,2743.17,21,8,0
C0542,57,24,7079.1,289,5,0
C0543,57,5,7700.19,116,0,0
C0544,10,9,8938.79,283,7,1
C0545,25,9,985.55,96,6,1
C0546,7,29,2214.82,292,5,0
C0547,60,25,3662.24,129,5,0
C0548,8,17,7471.41,353,5,0
C0549,13,19,2491.73,19,8,0
C0550,18,21,8165.01,143,2,0
C0551,31,17,5327.49,290,8,1
C0552,60,17,1293.59,89,0,0
C0553,25,12,3839.86,101,2,0
C0554,59,20,4177.13,73,7,0
C0555,11,5,2437.93,276,3,0
C0556,12,16,3437.54,131,1,0
C0557,40,24,6093.0,177,5,0
C0558,31,27,5632.19,17,2,0
C0559,51,30,8227.93,69,8,1
C0560,56,15,4996.48,348,0,0
C0561,37,10,3660.4,10,2,0
C0562,43,25,5735.35,137,7,1
C0563,15,25,3679.31,110,4,0
C0564,57,27,6443.26,357,3,0
C0565,2,24,2208.78,123,1,0
C0566,28,27,6646.65,219,7,1
C0567,55,19,6389.63,218,6,1
C0568,41,16,9599.03,132,7,1
C0569,31,21,6365.76,27,1,0
C0570,56,2,2987.99,283,3,1
C0571,33,9,2506.65,240,8,1
C0572,12,13,227.54,44,10,0
C0573,31,23,4783.0,318,5,0
C0574,13,28,9335.29,145,2,0
C0575,14,19,2298.47,316,2,0
C0576,9,12,8856.47,253,7,1
C0577,29,25,1855.51,234,4,0
C0578,44,11,526.62,55,10,0
C0579,34,29,3475.54,48,1,0
C0580,19,17,3124.67,18,3,0
C0581,13,17,2341.41,203,8,1
C0582,32,18,8330.24,153,2,0
C0583,2,25,7493.39,342,4,0
C0584,58,23,6277.25,301,8,1
C0585,16,12,6650.7,305,4,0
C0586,31,2,8810.58,296,3,1
C0587,44,19,1817.7,175,3,0
C0588,41,2,1544.62,163,4,1
C0589,27,3,8529.13,365,10,1
C0590,46,21,4768.3,149,6,1
C0591,48,15,6466.2,269,10,1
C0592,51,3,5222.18,292,8,1
C0593,51,14,2191.73,213,1,0
C0594,56,19,3289.4,149,10,1
C0595,21,26,5878.46,361,1,0
C0596,36,11,7495.81,89,3,0
C0597,22,21,564.01,317,4,0
C0598,32,16,5730.93,71,6,0
C0599,33,30,7830.28,195,5,0
C0600,37,20,8784.7,348,7,1
C0601,37,3,7094.6,284,10,1
C0602,41,5,8110.4,70,0,1
C0603,46,21,1277.08,16,1,0
C0604,12,17,8179.12,342,6,1
C0605,39,2,3981.37,164,1,1
C0606,21,16,3267.46,175,1,0
C0607,38,25,7559.82,22,9,0
C0608,29,4,6343.04,344,0,1
C0609,43,17,128.83,136,10,1
C0610,23,17,6961.6,94,4,0
C0611,12,16,8585.19,329,4,0
C0612,47,23,5911.69,202,6,1
C0613,23,23,6609.34,318,4,0
C0614,13,28,496.49,177,1,0
C0615,38,15,1595.12,170,1,0
C0616,14,28,9105.35,106,3,0
C0617,28,15,3762.73,230,10,1
C0618,31,16,4470.56,129,2,0
C0619,54,25,3381.32,247,5,1
C0620,43,3,140.3,363,10,1
C0621,38,15,6012.69,132,0,0
C0622,31,3,6314.0,352,10,1
C0623,12,28,5124.55,212,1,0
C0624,37,20,400.54,136,6,1
C0625,26,29,7094.42,212,9,1
C0626,49,16,8333.62,140,7,1
C0627,10,26,8454.6,47,7,0
C0628,60,6,2933.82,118,5,0
C0629,33,22,8106.2,26,3,0
C0630,49,7,3899.23,294,5,0
C0631,57,12,3292.95,229,6,1
C0632,32,7,3235.75,6,7,0
C0633,49,3,7473.87,339,7,1
C0634,12,17,6901.3,335,9,1
C0635,20,26,4639.45,198,4,0
C0636,27,24,6800.37,37,2,0
C0637,6,9,6113.46,328,9,1
C0638,14,22,4078.59,122,1,0
C0639,26,6,8613.3,226,5,0
C0640,20,9,2268.5,20,9,0
C0641,41,20,8376.55,202,6,1
C0642,14,1,663.56,202,3,1
C0643,25,5,7124.51,61,0,0
C0644,5,13,2626.82,229,8,1
C0645,30,28,7422.62,365,10,1
C0646,4,28,3039.58,257,1,0
C0647,48,21,3671.26,101,7,1
C0648,48,21,9936.34,324,3,0
C0649,24,30,1642.91,322,2,0
C0650,39,11,5828.41,279,6,1
C0651,29,15,4714.69,32,5,0
C0652,34,19,5868.47,19,7,0
C0653,12,23,5898.76,310,6,1
C0654,39,25,6033.15,50,5,0
C0655,36,6,9740.84,245,0,1
C0656,9,19,2510.51,357,1,0
C0657,9,13,5117.68,100,7,1
C0658,53,9,4235.89,81,1,0
C0659,49,18,8450.85,148,1,0
C0660,31,3,6947.23,312,1,1
C0661,34,9,1769.18,321,10,1
C0662,24,3,7238.21,181,6,1
C0663,49,3,4755.57,342,5,1
C0664,22,18,6020.34,80,3,0
C0665,24,29,1339.98,280,5,0
C0666,43,1,8702.78,224,3,1
C0667,1,26,6685.64,76,8,0
C0668,46,6,6103.11,115,3,0
C0669,10,18,8545.92,270,9,1
C0670,32,4,3776.91,100,5,1
C0671,52,29,6006.34,210,4,0
C0672,11,14,5286.17,159,7,1
C0673,18,14,2805.96,185,5,1
C0674,44,5,8973.82,126,1,0
C0675,60,4,9987.17,181,10,1
C0676,4,17,5485.99,277,7,1
C0677,21,13,7413.34,180,0,0
C0678,22,18,1155.59,7,5,0
C0679,7,1,5642.02,329,8,1
C0680,57,22,8245.8,250,9,1
C0681,32,26,9663.68,130,7,1
C0682,28,3,5903.31,229,8,1
C0683,52,25,7312.24,219,6,1
C0684,13,27,3871.77,325,4,0
C0685,22,8,9363.42,120,4,0
C0686,29,9,7450.34,210,3,0
C0687,31,19,8946.94,76,2,0
C0688,60,23,4332.52,88,8,0
C0689,60,3,3482.03,93,3,1
C0690,32,10,2107.02,328,7,1
C0691,16,10,9870.08,26,5,0
C0692,8,20,2933.43,164,10,1
C0693,1,9,4758.72,214,0,0
C0694,56,30,6433.88,219,2,0
C0695,18,12,9497.28,250,7,1
C0696,16,14,3807.61,293,8,1
C0697,49,24,9361.25,298,1,0
C0698,6,15,7526.19,249,3,0
C0699,24,7,6159.28,331,8,1
C0700,34,12,5263.53,154,8,1
C0701,48,20,6846.05,178,10,1
C0702,56,12,4554.2,126,1,0
C0703,40,18,2568.99,135,4,0
C0704,47,20,9330.42,34,6,0
C0705,37,11,1851.85,246,4,0
C0706,31,9,2408.18,328,2,0
C0707,15,17,2777.94,234,7,1
C0708,24,13,9029.52,38,9,0
C0709,36,25,5649.71,266,7,1
C0710,22,12,4953.12,343,8,1
C0711,55,8,1311.99,96,9,1
C0712,3,21,7800.77,31,5,0
C0713,21,10,3539.27,59,7,0
C0714,21,18,3674.99,17,5,0
C0715,5,19,2279.97,156,2,0
C0716,9,28,6594.19,241,1,0
C0717,13,20,2381.21,29,6,0
C0718,13,12,8778.96,100,5,0
C0719,31,11,9330.39,300,10,1
C0720,35,1,5724.7,81,8,1
C0721,12,24,7054.06,305,6,1
C0722,59,1,5277.21,287,7,1
C0723,49,21,3285.9,241,8,1
C0724,42,28,5542.7,360,7,1
C0725,13,15,8526.8,218,3,1
C0726,60,16,4583.78,298,10,1
C0727,53,17,7261.11,224,6,1
C0728,27,1,5713.73,337,9,1
C0729,32,17,8113.62,172,0,0
C0730,49,2,6876.87,150,4,1
C0731,24,22,511.37,361,2,0
C0732,11,20,8952.42,14,10,0
C0733,60,15,6140.93,364,2,0
C0734,10,13,3589.14,230,8,1
C0735,11,12,2932.01,122,0,0
