月份,区域,产品,销售额,订单数,利润,增长率
2024-02,西南,C系列,369300.64,182,78032.33,0.0091
2024-02,西南,D系列,286796.08,416,50340.0,0.0628
2024-02,西北,A系列,457600.59,557,55102.26,0.3548
2024-02,西北,B系列,201928.53,296,25468.62,0.2611
2024-02,西北,C系列,428621.9,1966,82721.0,0.3897
2024-02,西北,D系列,150323.45,114,22732.07,-0.1374
2024-02,东北,A系列,249045.78,1875,61877.19,-0.0433
2024-02,东北,B系列,494290.48,971,83147.17,-0.0907
2024-02,东北,C系列,396120.69,721,71375.83,0.1665
2024-02,东北,D系列,282219.78,778,81283.83,-0.1311
2024-03,华北,A系列,316723.21,236,61866.44,-0.1567
2024-03,华北,B系列,96940.45,860,23026.73,-0.1139
2024-03,华北,C系列,299018.24,771,45483.7,0.0726
2024-03,华北,D系列,370261.65,1808,61247.97,0.1754
2024-03,华东,A系列,209501.18,1911,39370.34,0.2098
2024-03,华东,B系列,369151.72,189,72700.46,0.0517
2024-03,华东,C系列,290606.69,1160,46387.63,-0.0645
2024-03,华东,D系列,349920.51,343,47505.24,0.0614
2024-03,华南,A系列,272930.8,1683,40113.9,0.0101
2024-03,华南,B系列,178767.78,461,40659.14,0.3242
2024-03,华南,C系列,107396.53,624,18521.77,-0.0278
2024-03,华南,D系列,479062.77,1650,99748.74,-0.1288
2024-03,华中,A系列,442693.15,1458,61002.97,0.0188
2024-03,华中,B系列,161743.3,320,31934.69,0.2201
2024-03,华中,C系列,208780.83,934,25330.64,-0.0428
2024-03,华中,D系列,96440.7,1668,20806.12,-0.1345
2024-03,西南,A系列,344355.34,699,80825.9,0.0775
2024-03,西南,B系列,150074.38,1412,34830.95,0.3321
2024-03,西南,C系列,333209.96,1796,71771.74,0.2916
2024-03,西南,D系列,155884.03,1748,25358.67,-0.0498
2024-03,西北,A系列,302024.04,1933,73091.69,0.2045
2024-03,西北,B系列,110600.88,1072,12685.61,0.332
2024-03,西北,C系列,490840.86,1528,59402.56,-0.007
2024-03,西北,D系列,341228.61,792,47405.9,0.3003
2024-03,东北,A系列,52022.63,1309,6202.26,0.0705
2024-03,东北,B系列,172134.96,1267,48543.91,-0.0486
2024-03,东北,C系列,460465.31,104,106553.36,-0.1827
2024-03,东北,D系列,410951.37,1898,103287.31,0.1571
2024-04,华北,A系列,121988.34,1259,27696.56,0.3173
2024-04,华北,B系列,167641.14,298,37049.43,0.2583
2024-04,华北,C系列,196606.78,1633,31276.83,-0.1073
2024-04,华北,D系列,304270.28,1051,56033.31,-0.0068
2024-04,华东,A系列,419642.23,1410,68736.2,0.0716
2024-04,华东,B系列,108272.98,129,30940.04,-0.0572
2024-04,华东,C系列,445356.4,755,81926.11,0.3944
2024-04,华东,D系列,69686.63,127,14695.85,0.019
2024-04,华南,A系列,294687.43,1470,80675.31,0.3178
2024-04,华南,B系列,395782.34,1147,40647.51,0.2194
2024-04,华南,C系列,50022.87,780,14283.95,0.0736
2024-04,华南,D系列,119199.35,913,32547.78,0.2417
2024-04,华中,A系列,333332.96,1709,81637.21,0.3082
2024-04,华中,B系列,119562.82,1960,30028.42,-0.0856
2024-04,华中,C系列,254436.52,225,75569.99,0.1254
2024-04,华中,D系列,454835.09,968,97435.07,-0.098
2024-04,西南,A系列,124836.24,1888,30150.55,0.0804
2024-04,西南,B系列,475142.48,901,63415.83,0.0198
2024-04,西南,C系列,81092.49,1843,23968.93,-0.1593
2024-04,西南,D系列,310296.31,1249,34722.72,-0.1984
2024-04,西北,A系列,400369.19,1932,50197.37,0.2403
2024-04,西北,B系列,328842.74,441,87591.91,0.2167
2024-04,西北,C系列,188714.1,1782,54053.96,0.1973
2024-04,西北,D系列,234004.78,780,48576.48,0.3112
2024-04,东北,A系列,187858.13,443,45217.03,0.0343
2024-04,东北,B系列,301750.59,1679,84227.84,0.292
2024-04,东北,C系列,269297.43,1441,41435.75,-0.0057
2024-04,东北,D系列,324053.11,208,71899.29,0.2627
2024-05,华北,A系列,385913.4,591,66335.16,0.3095
2024-05,华北,B系列,276868.46,1032,74490.51,-0.1109
2024-05,华北,C系列,281956.65,552,43000.9,0.1929
2024-05,华北,D系列,341437.71,1771,75729.47,0.3325
2024-05,华东,A系列,86740.09,1328,9137.97,-0.0073
2024-05,华东,B系列,459621.64,1099,79576.92,-0.1889
2024-05,华东,C系列,336310.37,1302,61166.86,-0.0369
2024-05,华东,D系列,313333.95,1470,78834.65,0.3884
2024-05,华南,A系列,443861.0,1857,117518.97,0.1658
2024-05,华南,B系列,79017.92,1058,16851.39,0.1763
2024-05,华南,C系列,120571.83,186,16569.04,0.1575
2024-05,华南,D系列,462398.01,1359,109332.09,0.2138
2024-05,华中,A系列,173677.34,1842,26512.16,0.1248
2024-05,华中,B系列,414317.36,1251,120349.3,0.375
2024-05,华中,C系列,262942.68,431,53289.18,0.0023
2024-05,华中,D系列,282238.28,1197,69920.39,-0.0377
2024-05,西南,A系列,165858.59,1823,18049.11,0.3212
2024-05,西南,B系列,239399.7,1231,67573.72,0.1101
2024-05,西南,C系列,229024.45,1605,47640.11,-0.1867
2024-05,西南,D系列,448372.19,1445,61462.79,-0.1872
2024-05,西北,A系列,75112.14,1406,17456.11,0.0133
2024-05,西北,B系列,410974.66,264,87935.85,0.0986
2024-05,西北,C系列,438828.57,1661,101597.24,0.3966
2024-05,西北,D系列,250863.55,1504,32454.69,0.3446
2024-05,东北,A系列,107981.44,804,32274.75,0.3428
2024-05,东北,B系列,391723.47,1888,89024.07,0.1001
2024-05,东北,C系列,365991.15,1220,56255.41,0.2908
2024-05,东北,D系列,378013.6,102,45659.62,0.2167
2024-06,华北,A系列,302956.67,361,77580.98,0.0281
2024-06,华北,B系列,118555.37,1541,16295.03,0.1724
2024-06,华北,C系列,491551.17,684,126301.33,0.207
2024-06,华北,D系列,52100.95,1966,8804.58,0.1433
2024-06,华东,A系列,67903.84,1935,15629.79,0.3425
2024-06,华东,B系列,188719.35,651,48353.73,-0.1696
2024-06,华东,C系列,472438.55,1756,138119.78,0.2135
2024-06,华东,D系列,453892.85,1815,71466.69,0.0875
2024-06,华南,A系列,179980.31,891,26738.45,0.3387
2024-06,华南,B系列,74462.17,1505,15360.44,-0.0
2024-06,华南,C系列,109414.03,1198,24141.52,0.3668
2024-06,华南,D系列,92520.7,1706,21729.81,-0.1778
2024-06,华中,A系列,360856.92,955,54117.41,0.1846
2024-06,华中,B系列,188327.54,1677,44251.15,0.1029
2024-06,华中,C系列,418987.4,1921,106832.41,-0.1727
2024-06,华中,D系列,119291.85,498,12296.84,0.2686
2024-06,西南,A系列,303652.08,1893,51271.31,-0.0505
2024-06,西南,B系列,492839.28,1791,91936.36,0.1332
2024-06,西南,C系列,343615.8,483,98326.46,0.3094
2024-06,西南,D系列,220165.84,1020,37864.99,0.0143
2024-06,西北,A系列,112452.06,1142,20547.72,-0.0057
2024-06,西北,B系列,222878.22,1207,38339.05,0.2348
2024-06,西北,C系列,241789.41,887,37108.55,0.3806
2024-06,西北,D系列,264629.0,443,61279.74,-0.0141
2024-06,东北,A系列,487945.23,1068,59682.22,-0.173
2024-06,东北,B系列,74187.85,803,12646.81,0.0431
2024-06,东北,C系列,169258.67,1837,25365.99,-0.0286
2024-06,东北,D系列,329766.85,815,41961.62,-0.0407
2024-07,华北,A系列,332004.74,1141,52201.52,0.0731
2024-07,华北,B系列,178990.07,342,42579.37,-0.0132
2024-07,华北,C系列,65851.85,1464,16399.6,-0.0728
2024-07,华北,D系列,138121.54,182,25618.76,0.3457
2024-07,华东,A系列,341941.97,1846,38685.38,-0.1373
2024-07,华东,B系列,227255.69,347,31716.87,0.187
2024-07,华东,C系列,434977.34,845,100475.86,0.009
2024-07,华东,D系列,303731.6,434,41195.99,0.1147
2024-07,华南,A系列,96436.6,491,14391.25,0.3586
2024-07,华南,B系列,118292.03,256,26402.75,0.1687
2024-07,华南,C系列,431215.58,1923,82967.44,-0.1477
2024-07,华南,D系列,283911.05,1862,34520.44,0.2161
2024-07,华中,A系列,248668.95,1705,47783.42,0.3645
2024-07,华中,B系列,137154.57,205,36478.23,0.1273
2024-07,华中,C系列,487441.28,1873,106567.07,-0.0009
2024-07,华中,D系列,119862.69,303,35833.44,-0.066
2024-07,西南,A系列,237031.66,1676,36564.7,-0.0483
2024-07,西南,B系列,322005.66,1402,51892.28,0.088
2024-07,西南,C系列,363759.11,1158,75168.16,-0.0727
2024-07,西南,D系列,277539.74,266,49455.49,0.2424
2024-07,西北,A系列,365274.96,1178,85131.16,0.2831
2024-07,西北,B系列,222394.69,1589,36312.16,0.2043
2024-07,西北,C系列,292850.1,487,34046.43,0.171
2024-07,西北,D系列,335515.75,432,82243.9,0.3431
2024-07,东北,A系列,251161.29,1255,62089.85,0.1841
2024-07,东北,B系列,62464.08,757,8666.46,-0.1611
2024-07,东北,C系列,496772.71,140,86489.06,0.2181
2024-07,东北,D系列,270541.44,227,34626.15,0.1769
2024-08,华北,A系列,409909.49,1641,117193.49,0.3559
2024-08,华北,B系列,329527.07,1201,83206.75,0.3655
2024-08,华北,C系列,240556.6,757,42065.16,0.3226
2024-08,华北,D系列,92332.36,449,16910.87,-0.1457
2024-08,华东,A系列,65634.35,1161,9737.14,0.3201
2024-08,华东,B系列,99138.03,1165,23692.48,-0.0549
2024-08,华东,C系列,311684.55,728,37970.23,0.2419
2024-08,华东,D系列,394215.57,635,65264.93,0.2301
2024-08,华南,A系列,140819.33,1760,24496.38,0.1098
2024-08,华南,B系列,484079.45,470,76385.33,-0.0084
2024-08,华南,C系列,274973.98,1978,33086.2,0.0299
2024-08,华南,D系列,130612.67,1532,25214.24,0.2629
2024-08,华中,A系列,199824.21,1964,51287.09,0.1582
2024-08,华中,B系列,281445.86,943,39467.81,0.0975
2024-08,华中,C系列,74619.56,520,8948.89,-0.0461
2024-08,华中,D系列,456249.1,168,57461.04,0.2462
2024-08,西南,A系列,70012.27,878,7041.53,0.1788
2024-08,西南,B系列,268067.99,575,71328.36,-0.0357
2024-08,西南,C系列,143432.47,1492,26251.55,-0.0911
2024-08,西南,D系列,499892.4,1915,124704.19,0.3823
2024-08,西北,A系列,143626.98,1583,24894.59,-0.0334
2024-08,西北,B系列,369657.57,1407,50216.37,0.2828
2024-08,西北,C系列,348786.36,1114,37510.54,-0.0974
2024-08,西北,D系列,117836.42,837,28777.86,0.3255
2024-08,东北,A系列,171042.75,1410,49827.31,-0.0633
2024-08,东北,B系列,207951.76,1886,24759.54,-0.1216
2024-08,东北,C系列,139096.01,880,39586.41,0.0195
2024-08,东北,D系列,168457.1,1624,43606.27,-0.0128
2024-09,华北,A系列,213648.72,895,23556.54,0.3302
2024-09,华北,B系列,113770.23,1579,33942.03,0.0003
2024-09,华北,C系列,344812.09,414,94978.23,-0.0461
2024-09,华北,D系列,451212.0,1999,110481.59,0.0161
2024-09,华东,A系列,415971.41,585,45379.03,0.0434
2024-09,华东,B系列,84586.56,337,25264.53,0.1677
2024-09,华东,C系列,51920.56,848,12004.27,0.3476
2024-09,华东,D系列,110842.06,845,29830.75,-0.1009
2024-09,华南,A系列,170581.0,1137,33836.95,0.2512
2024-09,华南,B系列,238473.48,1727,66895.52,0.3956
2024-09,华南,C系列,151459.5,784,26232.27,0.0146
2024-09,华南,D系列,157937.59,859,34432.48,-0.162
2024-09,华中,A系列,396561.87,1239,60327.77,-0.0741
2024-09,华中,B系列,303723.41,998,48418.86,0.2741
2024-09,华中,C系列,310931.92,186,33816.68,0.0071
2024-09,华中,D系列,211807.68,1557,61805.73,0.2954
2024-09,西南,A系列,428409.62,1958,87791.89,0.0765
2024-09,西南,B系列,488116.86,357,88452.24,0.033
2024-09,西南,C系列,310102.27,691,31632.97,-0.0489
2024-09,西南,D系列,448015.66,858,47151.52,0.073
2024-09,西北,A系列,191586.17,782,34959.66,0.3033
2024-09,西北,B系列,206154.48,761,41883.31,0.2592
2024-09,西北,C系列,335224.94,1631,36131.36,0.0386
2024-09,西北,D系列,290708.33,912,79509.7,0.0981
2024-09,东北,A系列,405105.77,1557,98244.11,-0.1017
2024-09,东北,B系列,126158.05,472,13678.83,-0.0559
2024-09,东北,C系列,77566.31,589,18463.89,0.1445
2024-09,东北,D系列,440331.59,1792,81865.22,0.1382
2024-10,华北,A系列,427157.55,306,105848.63,-0.0523
2024-10,华北,B系列,391460.08,796,85474.15,0.2571
2024-10,华北,C系列,408636.43,286,109933.96,0.3892
2024-10,华北,D系列,116143.21,201,34283.45,-0.1076
2024-10,华东,A系列,229053.02,373,60274.29,-0.0702
2024-10,华东,B系列,299197.72,1491,81157.33,0.3831
2024-10,华东,C系列,104276.44,104,25355.28,-0.121
2024-10,华东,D系列,179404.14,775,28630.98,-0.1126
2024-10,华南,A系列,382209.57,419,51277.96,-0.0561
2024-10,华南,B系列,116898.57,1515,14764.31,0.2215
2024-10,华南,C系列,56784.15,297,7843.95,0.0686
2024-10,华南,D系列,472210.35,450,98651.66,0.2032
2024-10,华中,A系列,169140.74,582,28175.83,0.1844
2024-10,华中,B系列,426278.77,1261,50802.43,0.3592
2024-10,华中,C系列,201042.77,1654,26609.99,-0.0064
2024-10,华中,D系列,221284.58,1402,63773.38,0.3985
2024-10,西南,A系列,132707.03,674,37005.92,0.2178
2024-10,西南,B系列,173658.4,1605,34321.58,0.0255
2024-10,西南,C系列,75202.06,1672,15602.26,0.3799
2024-10,西南,D系列,437190.84,1878,83442.85,0.148
2024-10,西北,A系列,213305.49,869,24279.06,-0.035
2024-10,西北,B系列,298322.19,100,68133.13,-0.1762
2024-10,西北,C系列,74189.2,603,20715.45,-0.0575
2024-10,西北,D系列,74637.47,1093,21621.2,0.3459
2024-10,东北,A系列,374594.43,784,69155.52,0.3037
2024-10,东北,B系列,123739.73,241,24497.57,0.3595
2024-10,东北,C系列,401323.55,979,55143.38,-0.1127
2024-10,东北,D系列,194563.02,1325,45469.8,0.1433
2024-11,华北,A系列,368462.07,1871,70367.64,0.1263
2024-11,华北,B系列,383560.09,1515,61425.22,0.3678
2024-11,华北,C系列,120289.89,672,22426.29,0.1564
2024-11,华北,D系列,124589.23,428,36034.78,0.3125
2024-11,华东,A系列,138557.0,1576,35647.06,-0.0819
2024-11,华东,B系列,472464.8,766,63934.1,-0.102
2024-11,华东,C系列,202033.11,157,35751.05,0.0912
2024-11,华东,D系列,62332.91,1289,16976.96,-0.0252
2024-11,华南,A系列,494050.88,1843,53591.37,0.2315
2024-11,华南,B系列,93152.85,669,14891.31,-0.0969
2024-11,华南,C系列,202277.23,428,27733.22,0.3924
2024-11,华南,D系列,163238.01,857,28986.84,0.2052
2024-11,华中,A系列,285080.93,1787,65284.86,-0.0677
2024-11,华中,B系列,367804.49,1953,101108.21,0.1865
2024-11,华中,C系列,65572.51,949,18476.73,0.2165
2024-11,华中,D系列,326123.48,487,45436.56,0.3727
2024-11,西南,A系列,175250.59,821,49881.39,0.3154
2024-11,西南,B系列,298767.53,1763,73341.9,0.3575
2024-11,西南,C系列,155430.45,1565,31778.93,0.1051
2024-11,西南,D系列,474473.14,847,122201.87,-0.1522
2024-11,西北,A系列,457540.71,1996,101520.01,0.0042
2024-11,西北,B系列,393100.04,1286,89548.8,-0.0392
2024-11,西北,C系列,302626.77,840,64785.28,-0.1645
2024-11,西北,D系列,364691.25,479,61659.34,0.3455
2024-11,东北,A系列,108099.72,472,26831.6,0.2085
2024-11,东北,B系列,56303.95,1087,5680.83,0.0528
2024-11,东北,C系列,449816.63,1241,84181.53,0.288
2024-11,东北,D系列,276329.9,710,49397.6,0.0738
2024-12,华北,A系列,259870.28,1390,65135.45,-0.0991
2024-12,华北,B系列,328897.19,650,68917.92,0.244
2024-12,华北,C系列,479362.81,879,131291.63,-0.1752
2024-12,华北,D系列,337111.27,880,72234.6,0.1987
2024-12,华东,A系列,112729.69,1829,32437.17,0.3611
2024-12,华东,B系列,50304.09,453,8380.05,-0.1219
2024-12,华东,C系列,357427.13,1744,93057.17,0.2008
2024-12,华东,D系列,168881.76,1381,20377.39,-0.1337
2024-12,华南,A系列,350575.32,1927,87674.29,0.0208
2024-12,华南,B系列,382488.95,464,88228.25,0.3871
2024-12,华南,C系列,114275.61,1451,20756.04,0.0525
2024-12,华南,D系列,340183.86,153,87492.01,0.3602
2024-12,华中,A系列,422331.83,201,104651.17,0.1411
2024-12,华中,B系列,185997.71,172,27838.47,0.0546
2024-12,华中,C系列,169986.42,1823,26825.94,0.2594
2024-12,华中,D系列,391878.04,1564,51405.21,0.0581
2024-12,西南,A系列,171794.42,1587,42347.44,-0.1159
2024-12,西南,B系列,233589.13,237,37137.49,-0.0676
2024-12,西南,C系列,440814.45,1524,102776.0,0.3368
2024-12,西南,D系列,394898.2,1804,55898.1,-0.1573
2024-12,西北,A系列,117210.71,1824,28394.54,-0.086
2024-12,西北,B系列,103893.24,1346,11739.08,0.2055
2024-12,西北,C系列,471145.96,1192,70432.4,0.3462
2024-12,西北,D系列,328593.23,1929,81304.23,-0.0555
2024-12,东北,A系列,485629.76,259,121158.82,-0.0882
2024-12,东北,B系列,496128.57,434,122804.48,0.2628
2024-12,东北,C系列,174035.86,1009,27209.65,0.1294
2024-12,东北,D系列,77782.26,997,17898.1,0.2008
