客户ID,最近一次消费(天前),消费频次,消费总金额,注册时长(月),会员等级
C0181,277,3,17037.17,2,金卡
C0182,53,80,5789.58,46,钻石
C0183,125,39,1590.17,22,金卡
C0184,65,66,15230.96,7,钻石
C0185,135,37,9417.14,27,金卡
C0186,148,17,11034.52,12,普通
C0187,262,72,18530.45,15,普通
C0188,114,45,9979.55,36,银卡
C0189,13,30,9319.95,38,金卡
C0190,342,19,1992.07,43,银卡
C0191,228,33,18626.7,16,金卡
C0192,207,77,11535.39,21,金卡
C0193,283,42,19158.54,32,金卡
C0194,304,74,6155.92,2,银卡
C0195,143,24,11539.46,48,普通
C0196,215,78,19296.74,37,银卡
C0197,354,39,7217.76,10,银卡
C0198,279,55,344.71,5,银卡
C0199,199,43,8436.55,16,普通
C0200,140,48,8908.84,3,普通
C0201,163,19,8910.98,6,钻石
C0202,215,72,1428.79,38,金卡
C0203,30,18,7186.4,41,普通
C0204,144,25,9604.27,26,银卡
C0205,83,79,16985.15,19,普通
C0206,236,64,17200.64,12,普通
C0207,5,69,5675.58,12,普通
C0208,73,33,3523.47,20,银卡
C0209,17,36,1646.33,46,普通
C0210,57,43,6873.06,26,银卡
C0211,168,69,6793.83,30,普通
C0212,300,4,7714.25,32,银卡
C0213,194,2,3284.92,11,普通
C0214,32,31,19935.15,14,普通
C0215,74,80,15906.82,44,银卡
C0216,184,24,18621.8,6,普通
C0217,276,18,10530.95,15,普通
C0218,11,18,12121.76,26,普通
C0219,354,80,12021.88,29,普通
C0220,249,38,19028.01,39,普通
C0221,68,4,6075.61,27,普通
C0222,91,16,7215.69,16,银卡
C0223,208,49,12102.27,31,金卡
C0224,3,51,4464.75,9,金卡
C0225,17,28,2466.14,15,银卡
C0226,257,6,6076.3,23,普通
C0227,78,6,8388.84,43,银卡
C0228,55,74,4825.22,16,普通
C0229,317,29,9813.71,32,普通
C0230,32,1,1209.79,2,普通
C0231,298,44,8634.22,25,普通
C0232,175,49,14325.06,44,普通
C0233,253,9,10306.75,24,普通
C0234,308,40,99.02,29,银卡
C0235,319,19,4576.74,19,金卡
C0236,177,28,2777.49,15,普通
C0237,198,60,9336.19,35,金卡
C0238,146,43,7568.05,29,银卡
C0239,126,57,306.33,48,普通
C0240,152,46,3956.44,40,银卡
C0241,54,11,13418.1,32,普通
C0242,216,55,6832.63,23,普通
C0243,242,54,1384.58,2,金卡
C0244,82,71,1776.48,45,银卡
C0245,245,71,1146.13,43,普通
C0246,320,8,3159.8,16,普通
C0247,59,51,9595.29,36,银卡
C0248,227,4,7758.32,31,银卡
C0249,105,43,4959.19,10,普通
C0250,249,16,10806.06,38,普通
C0251,71,49,16383.77,34,银卡
C0252,332,66,7384.3,15,钻石
C0253,43,11,5757.04,10,银卡
C0254,99,3,848.85,48,普通
C0255,173,32,11417.46,35,银卡
C0256,357,20,17480.34,45,银卡
C0257,107,19,5230.08,23,银卡
C0258,321,65,17036.56,25,银卡
C0259,65,62,15111.57,35,银卡
C0260,53,63,13199.26,13,金卡
C0261,255,53,6882.85,5,金卡
C0262,175,27,18391.03,9,普通
C0263,51,36,13362.61,2,金卡
C0264,181,21,14021.57,26,普通
C0265,221,57,17322.68,15,金卡
C0266,189,9,16119.37,32,普通
C0267,144,41,18864.19,15,钻石
C0268,128,63,19006.14,24,银卡
C0269,161,50,12291.22,27,普通
C0270,226,66,5905.43,28,普通
C0271,143,74,5795.18,24,金卡
C0272,12,40,8165.58,9,普通
C0273,212,75,2635.8,37,普通
C0274,197,69,18579.75,8,普通
C0275,345,7,17334.04,9,金卡
C0276,214,64,3627.5,15,银卡
C0277,360,3,12297.08,38,金卡
C0278,132,35,17336.13,5,普通
C0279,57,39,8769.87,43,普通
C0280,3,24,2989.52,13,普通
C0281,253,60,11024.57,45,钻石
C0282,359,1,5773.15,23,钻石
C0283,291,60,17166.49,9,普通
C0284,267,38,13977.38,4,普通
C0285,105,30,13012.11,34,普通
C0286,150,58,11132.24,10,金卡
C0287,99,57,12919.9,10,银卡
C0288,291,35,6367.29,46,钻石
C0289,250,52,15330.45,29,普通
C0290,101,53,12621.3,43,普通
C0291,267,55,4049.2,8,普通
C0292,71,20,589.98,4,金卡
C0293,347,67,5878.95,18,普通
C0294,130,70,4110.63,14,普通
C0295,232,74,7651.46,33,普通
C0296,354,70,12124.78,32,银卡
C0297,327,11,13961.37,25,普通
C0298,172,33,12151.46,19,金卡
C0299,307,18,529.34,24,钻石
C0300,144,73,14318.09,4,普通
C0301,97,19,5267.94,24,金卡
C0302,48,73,18614.04,24,普通
C0303,335,1,1595.03,22,普通
C0304,57,61,6932.36,34,银卡
C0305,363,8,10840.82,4,普通
C0306,269,66,11562.69,47,银卡
C0307,147,33,12779.24,4,普通
C0308,140,31,1324.29,26,普通
C0309,261,44,1563.16,14,金卡
C0310,98,67,12704.39,7,普通
C0311,331,28,9572.37,30,普通
C0312,259,7,3981.85,40,银卡
C0313,53,52,10350.58,21,普通
C0314,230,15,9766.81,29,银卡
C0315,19,12,19243.23,39,普通
C0316,237,14,8125.73,39,银卡
C0317,287,27,9700.47,7,普通
C0318,55,47,10343.34,25,普通
C0319,265,55,2300.81,37,银卡
C0320,198,57,7157.14,48,银卡
C0321,104,26,3238.64,5,普通
C0322,22,42,17303.51,22,钻石
C0323,275,27,7529.73,17,普通
C0324,277,9,11781.85,28,普通
C0325,362,20,10931.38,16,普通
C0326,123,32,11591.12,38,金卡
C0327,261,21,5681.66,25,普通
C0328,73,13,9389.09,45,普通
C0329,287,6,1377.39,22,银卡
C0330,138,55,8583.75,32,银卡
C0331,107,1,16305.01,13,普通
C0332,264,44,4129.95,30,普通
C0333,197,56,11870.91,42,普通
C0334,163,9,12777.53,48,银卡
C0335,85,41,2559.35,34,普通
C0336,154,55,2174.58,16,普通
C0337,279,60,16372.78,1,银卡
C0338,289,61,2544.98,47,金卡
C0339,328,59,15322.24,15,银卡
C0340,86,62,15877.49,31,普通
C0341,60,16,17582.45,33,普通
C0342,164,17,13881.22,31,银卡
C0343,200,26,71.88,39,普通
C0344,227,11,2971.22,4,金卡
C0345,143,19,3909.57,44,普通
C0346,111,7,7008.54,43,普通
C0347,355,58,19709.84,7,金卡
C0348,365,55,18696.78,44,银卡
C0349,324,61,2211.31,24,银卡
C0350,223,45,15449.02,26,金卡
C0351,209,38,861.8,40,银卡
C0352,194,68,17101.15,13,普通
C0353,137,3,398.43,46,普通
C0354,83,37,18902.28,44,普通
C0355,365,47,3965.72,30,银卡
C0356,356,24,2587.32,6,银卡
C0357,133,32,19682.28,46,普通
C0358,11,47,13880.92,31,银卡
C0359,216,7,15257.15,22,普通
C0360,328,76,2330.07,22,普通
C0361,360,13,924.93,26,银卡
C0362,78,54,227.82,33,普通
C0363,206,45,11232.47,46,普通
C0364,134,60,18199.21,39,普通
C0365,285,27,4452.11,19,银卡
C0366,106,46,9865.33,6,银卡
C0367,56,37,11430.58,31,银卡
C0368,130,50,4887.2,46,银卡
C0369,212,50,17068.62,44,金卡
C0370,80,3,17538.1,6,钻石
C0371,254,18,16354.87,27,普通
C0372,75,67,2882.64,26,银卡
C0373,136,76,18037.75,47,普通
C0374,66,38,102.14,3,银卡
C0375,346,19,464.78,26,银卡
C0376,45,39,13347.47,25,金卡
C0377,164,12,11805.1,36,金卡
C0378,144,27,16486.84,32,金卡
C0379,206,26,14606.18,42,银卡
C0380,102,31,6439.35,27,金卡
C0381,112,49,11985.54,13,金卡
C0382,46,8,1184.45,3,银卡
C0383,270,77,11793.45,5,银卡
C0384,267,15,14556.01,20,金卡
C0385,273,6,3511.13,42,钻石
C0386,119,43,13995.46,18,普通
C0387,279,77,15132.16,40,银卡
C0388,319,30,1034.91,17,银卡
C0389,325,57,8372.32,6,普通
C0390,214,51,3449.35,42,普通
C0391,43,18,19701.65,44,银卡
C0392,267,9,7008.36,37,普通
C0393,235,33,15393.62,1,金卡
C0394,113,10,19870.49,6,普通
C0395,179,71,18940.21,44,金卡
C0396,126,2,17247.26,28,普通
C0397,104,78,8984.9,33,普通
C0398,72,13,11176.11,8,银卡
C0399,72,55,12147.76,31,钻石
C0400,183,4,15161.49,7,普通
C0401,249,55,9604.78,7,银卡
C0402,246,51,17401.17,9,银卡
C0403,278,28,8212.88,16,普通
C0404,270,46,540.27,47,银卡
C0405,328,21,9224.81,26,普通
C0406,82,24,8531.03,28,普通
C0407,354,66,273.3,45,银卡
C0408,230,51,1758.22,26,钻石
C0409,167,22,3785.86,42,银卡
C0410,276,78,63.48,19,银卡
C0411,124,41,11333.73,7,普通
C0412,175,80,9558.59,30,普通
C0413,166,78,16727.12,25,普通
C0414,282,25,18247.09,24,钻石
C0415,273,4,6375.9,5,钻石
C0416,149,16,15475.47,7,金卡
C0417,199,43,9682.78,38,普通
C0418,36,18,11825.11,23,金卡
C0419,180,12,10710.94,29,普通
C0420,59,40,10535.36,3,普通
C0421,334,47,15488.66,1,银卡
C0422,95,34,5431.91,46,银卡
C0423,268,58,11245.5,32,普通
C0424,238,7,12547.86,42,普通
C0425,73,76,3963.73,8,普通
C0426,77,44,12690.72,5,银卡
C0427,201,5,9893.48,11,银卡
C0428,12,52,13248.27,39,普通
C0429,93,21,4579.89,13,普通
C0430,108,16,12698.06,2,普通
C0431,22,2,15660.06,32,银卡
C0432,11,18,16257.11,12,钻石
C0433,334,55,2820.91,45,金卡
C0434,232,47,4822.4,48,银卡
C0435,13,42,9921.62,45,普通
C0436,329,36,6136.26,43,钻石
C0437,189,53,13581.87,32,普通
C0438,195,70,18069.2,14,普通
C0439,156,33,18797.9,15,普通
C0440,34,36,7647.3,28,金卡
C0441,275,54,7111.02,33,普通
C0442,138,65,4006.07,19,银卡
C0443,118,46,13115.54,28,银卡
C0444,214,64,4355.89,26,金卡
C0445,266,41,4844.73,2,金卡
C0446,236,61,7330.13,31,普通
C0447,261,78,5850.02,11,金卡
C0448,334,53,15440.5,40,银卡
C0449,337,33,6050.28,47,普通
C0450,306,44,17337.09,3,普通
C0451,157,41,16004.21,24,钻石
C0452,17,77,3538.63,18,普通
C0453,85,2,1070.18,13,普通
C0454,309,26,11364.53,45,普通
C0455,117,63,18144.36,38,普通
C0456,326,45,13355.74,44,普通
C0457,288,4,1315.54,9,普通
C0458,180,15,7119.23,44,普通
C0459,357,1,6032.95,22,普通
C0460,95,72,1929.55,14,普通
C0461,34,18,18181.67,39,普通
C0462,351,30,16496.07,32,银卡
C0463,170,25,1619.45,47,银卡
C0464,52,15,2887.61,43,普通
C0465,15,36,19875.49,11,普通
C0466,95,59,16351.45,10,银卡
C0467,346,49,18126.91,43,普通
C0468,355,7,10495.27,32,普通
C0469,99,71,14312.5,23,普通
C0470,176,11,5227.9,28,钻石
C0471,310,11,11712.78,21,普通
C0472,245,39,6913.2,23,普通
C0473,351,29,13788.32,45,普通
C0474,214,18,9504.43,35,金卡
C0475,213,59,4035.94,29,普通
C0476,49,18,16924.83,43,普通
C0477,244,48,19268.29,47,银卡
C0478,86,55,5183.7,7,普通
C0479,218,4,10298.22,34,普通
C0480,336,57,7875.49,1,银卡
C0481,31,55,11441.85,6,银卡
C0482,221,31,452.54,16,钻石
C0483,307,44,18998.92,28,银卡
C0484,31,40,6744.96,46,普通
C0485,316,76,10820.07,9,钻石
C0486,361,54,8842.23,44,金卡
C0487,89,28,5643.92,15,金卡
C0488,272,72,10635.32,3,普通
C0489,177,12,13168.54,42,普通
C0490,75,48,12175.74,16,普通
C0491,188,6,17187.47,10,银卡
C0492,122,14,4964.01,9,普通
C0493,190,57,7603.0,12,银卡
C0494,33,15,14380.79,19,银卡
C0495,147,34,3921.95,6,银卡
C0496,363,26,12955.59,16,普通
C0497,315,48,4539.23,6,金卡
C0498,352,21,13306.23,38,普通
C0499,61,14,6447.83,27,普通
C0500,300,15,18977.04,30,银卡
C0501,200,44,16187.51,29,普通
C0502,83,66,2275.28,28,普通
C0503,315,11,14885.6,47,银卡
C0504,118,80,3154.61,7,银卡
C0505,127,51,11365.64,5,金卡
C0506,227,28,13603.98,28,金卡
C0507,59,4,7211.75,37,银卡
C0508,232,63,69.53,42,普通
C0509,305,80,16817.73,6,普通
C0510,101,8,5123.2,21,普通
C0511,91,1,2662.1,42,普通
C0512,267,32,11231.2,36,银卡
C0513,110,40,12777.13,4,普通
C0514,162,65,8025.31,26,普通
C0515,333,7,5480.4,39,金卡
C0516,106,35,8191.33,45,普通
C0517,179,39,12527.4,35,银卡
C0518,75,31,15786.71,35,银卡
C0519,23,10,17778.88,36,银卡
C0520,229,23,1479.84,21,普通
C0521,126,36,7537.17,7,银卡
C0522,82,20,108.29,16,银卡
C0523,281,22,7265.16,16,普通
C0524,282,26,13718.57,5,金卡
C0525,345,50,10483.29,47,金卡
C0526,211,29,8335.95,1,普通
C0527,290,12,12987.83,45,普通
C0528,126,49,12024.64,30,银卡
C0529,304,40,12977.92,28,普通
C0530,24,6,511.54,9,普通
C0531,358,13,15621.84,31,钻石
C0532,234,15,8702.35,18,银卡
C0533,15,69,16767.1,21,普通
C0534,111,59,178.07,24,普通
C0535,57,75,15081.82,40,普通
C0536,330,39,7268.05,24,普通
C0537,242,19,12355.86,23,普通
C0538,59,77,3761.98,28,普通
C0539,121,57,8950.64,44,金卡
C0540,353,65,10034.49,10,金卡
C0541,124,75,7119.79,7,普通
C0542,206,49,18477.15,29,银卡
C0543,13,48,7300.96,14,普通
C0544,101,70,16929.04,34,普通
C0545,147,6,3359.17,9,普通
C0546,336,37,13360.98,5,普通
C0547,201,49,3559.38,28,普通
C0548,112,1,5972.29,44,普通
C0549,235,54,15593.75,44,普通
C0550,321,14,7523.14,19,银卡
C0551,58,77,7965.8,35,银卡
C0552,107,54,5275.54,2,金卡
C0553,199,41,7573.3,37,普通
C0554,262,62,18543.1,14,普通
C0555,287,30,109.65,18,银卡
C0556,250,78,18414.66,15,普通
C0557,117,11,15321.88,37,钻石
C0558,75,77,2316.62,42,普通
C0559,30,50,6630.12,15,普通
C0560,23,34,1045.1,48,钻石
C0561,75,75,1929.05,35,普通
C0562,66,66,3179.72,31,普通
C0563,99,3,1795.73,8,普通
C0564,299,52,13057.47,31,普通
C0565,230,68,12275.8,47,银卡
C0566,130,74,9567.43,19,银卡
C0567,230,80,12025.34,21,普通
C0568,70,14,9832.13,8,普通
C0569,210,43,19757.5,23,银卡
C0570,49,71,12415.23,43,普通
C0571,5,56,1585.54,14,银卡
C0572,351,41,8157.33,16,普通
C0573,209,26,16590.36,11,银卡
C0574,188,46,9000.2,12,银卡
C0575,213,14,8400.12,20,银卡
C0576,112,63,18281.43,33,普通
C0577,294,28,10534.84,45,银卡
C0578,332,75,17746.84,4,普通
C0579,86,7,2320.88,14,银卡
C0580,7,64,1583.35,32,普通
C0581,350,22,2342.64,15,金卡
C0582,354,25,8460.75,8,金卡
C0583,124,10,9430.62,34,普通
C0584,297,5,15098.54,3,普通
C0585,309,8,4891.32,44,普通
C0586,183,38,7462.85,22,银卡
C0587,175,54,18080.92,16,银卡
C0588,301,71,15182.16,8,普通
C0589,143,28,12094.94,10,普通
C0590,165,44,2161.54,18,普通
C0591,308,24,6487.29,5,银卡
C0592,131,64,17359.54,12,钻石
C0593,55,24,14148.03,26,金卡
C0594,63,70,7933.54,37,银卡
C0595,184,34,1998.47,14,银卡
C0596,285,33,6400.86,7,普通
C0597,112,7,12082.0,1,金卡
C0598,241,77,8028.86,43,银卡
C0599,319,6,13029.71,28,银卡
C0600,157,47,17644.49,38,银卡
C0601,70,36,18297.6,3,银卡
C0602,313,78,17331.56,45,普通
C0603,248,25,6606.01,6,普通
C0604,261,9,1377.52,14,普通
C0605,319,61,3882.58,28,普通
C0606,245,18,2464.43,43,普通
C0607,151,2,14141.63,12,普通
C0608,334,22,12944.47,48,金卡
C0609,139,13,13782.49,34,金卡
C0610,118,8,8265.3,16,普通
C0611,121,56,6287.79,1,普通
C0612,279,13,12993.83,20,普通
C0613,87,38,15227.55,36,金卡
C0614,139,20,13404.57,43,普通
C0615,355,36,4930.78,24,普通
C0616,308,40,8812.4,23,银卡
C0617,47,16,13382.74,33,普通
C0618,34,44,8359.74,18,普通
C0619,295,37,2105.85,32,普通
C0620,318,70,12419.82,5,金卡
C0621,240,5,6432.38,41,普通
C0622,167,12,13703.33,40,普通
C0623,92,50,17208.55,43,钻石
C0624,37,4,12877.94,21,普通
C0625,316,35,3665.71,37,银卡
C0626,90,5,12701.76,12,普通
C0627,196,49,8684.01,43,钻石
C0628,217,77,3506.72,11,银卡
C0629,120,30,10768.33,6,银卡
C0630,48,9,12520.99,35,金卡
C0631,99,78,13552.31,40,金卡
C0632,157,17,5644.83,41,金卡
C0633,151,1,7602.01,44,普通
C0634,97,35,8231.72,13,金卡
C0635,346,67,10799.02,15,钻石
C0636,132,27,9479.16,7,钻石
C0637,270,49,8751.79,40,普通
C0638,20,65,8721.42,24,金卡
C0639,90,37,5019.33,36,普通
C0640,318,18,11111.98,22,普通
C0641,138,27,6833.52,2,银卡
C0642,178,21,19482.92,36,银卡
C0643,268,80,19774.49,39,普通
C0644,246,2,5012.34,28,金卡
C0645,310,55,5703.42,14,普通
C0646,50,61,8126.91,3,普通
C0647,64,71,10484.52,1,普通
C0648,304,76,6837.45,9,银卡
C0649,234,28,18694.5,19,银卡
C0650,313,52,13355.89,34,钻石
C0651,221,58,11801.4,40,银卡
C0652,234,3,8201.23,7,普通
C0653,329,3,17450.04,28,银卡
C0654,44,34,12443.45,6,普通
C0655,111,68,5251.16,46,钻石
C0656,230,14,6767.61,31,金卡
C0657,215,56,14571.52,1,银卡
C0658,40,70,14573.03,28,钻石
C0659,352,13,7717.97,43,普通
C0660,289,24,4127.98,45,普通
C0661,189,79,17757.46,28,银卡
C0662,168,3,17664.72,18,普通
C0663,9,43,15641.72,27,金卡
C0664,296,30,9715.23,20,普通
C0665,365,34,18029.76,36,普通
C0666,242,69,11777.16,22,金卡
C0667,64,39,19181.37,9,普通
C0668,350,31,10801.4,46,钻石
C0669,220,23,15123.62,20,银卡
C0670,37,53,15223.79,16,银卡
C0671,148,74,4927.65,48,普通
C0672,287,7,13439.91,13,普通
C0673,180,29,427.96,6,普通
C0674,41,19,8813.54,37,普通
C0675,171,11,19338.42,40,银卡
C0676,1,38,12871.87,33,金卡
C0677,76,63,9220.35,34,普通
C0678,244,7,17836.09,25,普通
C0679,76,7,18909.82,48,普通
C0680,130,39,13616.06,14,银卡
C0681,133,52,10197.97,39,普通
C0682,126,30,2143.78,5,银卡
C0683,78,26,4485.89,29,银卡
C0684,46,62,14295.59,48,钻石
C0685,230,29,16772.06,29,普通
C0686,183,60,9257.94,28,普通
C0687,212,18,7793.08,26,普通
C0688,161,6,10213.33,36,钻石
C0689,310,63,16283.66,17,金卡
C0690,192,79,5488.67,19,银卡
C0691,147,65,14271.6,9,银卡
C0692,98,58,15010.6,17,金卡
C0693,15,31,9550.15,30,普通
C0694,244,37,549.19,10,普通
C0695,246,54,9371.56,6,普通
C0696,228,45,4034.44,6,普通
C0697,242,27,13052.23,14,普通
C0698,302,8,15785.89,42,银卡
C0699,293,36,14782.57,27,普通
C0700,183,65,3042.8,48,普通
C0701,135,44,4921.11,22,银卡
C0702,217,47,4957.74,12,钻石
C0703,347,17,18832.66,28,钻石
C0704,324,2,17240.93,3,普通
C0705,15,74,14750.41,5,普通
C0706,126,40,11719.04,43,普通
C0707,216,10,1619.36,45,金卡
C0708,257,73,11851.81,26,金卡
C0709,42,12,10974.99,44,金卡
C0710,258,28,14990.07,29,金卡
C0711,142,52,8556.39,20,银卡
C0712,241,58,8529.75,6,银卡
C0713,332,53,10246.88,43,普通
C0714,237,75,8261.59,43,银卡
C0715,197,71,17714.49,46,银卡
C0716,191,18,7408.76,22,钻石
C0717,301,48,384.68,42,银卡
C0718,142,22,14042.6,45,普通
C0719,93,74,14102.22,32,普通
C0720,147,3,6345.14,31,银卡
C0721,320,69,8475.5,10,普通
C0722,29,46,1391.29,6,银卡
C0723,193,5,6201.12,20,普通
C0724,125,28,11057.68,6,普通
C0725,257,44,3394.81,30,普通
C0726,155,17,103.12,21,银卡
C0727,145,14,382.91,48,金卡
C0728,86,29,15672.67,31,银卡
C0729,183,11,10768.55,48,银卡
C0730,209,53,6236.37,32,普通
C0731,49,27,1848.94,14,钻石
C0732,40,65,13502.6,1,普通
C0733,264,48,3952.13,27,金卡
C0734,274,11,7017.77,40,钻石
C0735,276,47,12772.02,45,普通
C0736,282,78,6590.97,40,金卡
C0737,30,74,10474.16,46,金卡
C0738,39,22,19423.96,36,钻石
C0739,170,47,16162.64,8,普通
C0740,177,80,3597.4,35,普通
C0741,50,76,4445.77,35,金卡
C0742,293,12,10977.25,46,金卡
C0743,29,26,19212.32,5,金卡
C0744,198,25,5219.36,46,银卡
C0745,89,40,18298.82,7,银卡
C0746,190,74,9293.04,16,钻石
C0747,27,76,14723.34,7,普通
C0748,264,41,3137.02,13,普通
C0749,45,38,14488.4,6,普通
C0750,43,43,17658.94,23,普通
C0751,28,9,6448.52,3,普通
C0752,158,38,254.74,29,银卡
C0753,344,13,17879.38,40,钻石
C0754,209,47,12297.53,20,银卡
